"pracownik","sekcja","staz","buty_antyposlizgowe","skorki_tydzien","poslizgniecie","ciezkosc","dni_zwolnienia"
93,"A",7,"nie",1,"nie","brak",0
94,"B",1.9,"tak",4,"nie","brak",0
95,"C",0.7,"tak",5,"nie","brak",0
96,"C",6.4,"tak",2,"nie","brak",0
97,"B",4,"nie",5,"nie","brak",0
98,"C",3.1,"nie",5,"nie","brak",0
99,"C",1,"tak",3,"nie","brak",0
100,"B",2,"tak",2,"nie","brak",0
101,"B",1.6,"nie",1,"nie","brak",0
102,"A",1.9,"tak",0,"nie","brak",0
103,"B",2.9,"nie",1,"nie","brak",0
104,"A",5,"nie",2,"tak","lekki",0
105,"A",3.4,"nie",3,"nie","brak",0
106,"A",1.5,"tak",0,"nie","brak",0
107,"A",1,"tak",1,"nie","brak",0
108,"A",3.2,"tak",2,"nie","brak",0
109,"B",3.6,"tak",2,"nie","brak",0
110,"A",1.1,"tak",1,"nie","brak",0
111,"C",4,"tak",10,"tak","sredni",7
112,"C",4.6,"nie",2,"tak","ciezki",13
113,"B",1,"tak",3,"nie","brak",0
114,"A",5.8,"nie",1,"nie","brak",0
115,"A",1.1,"tak",0,"nie","brak",0
116,"A",1.4,"tak",2,"nie","brak",0
117,"B",4.3,"tak",0,"nie","brak",0
118,"A",2.2,"tak",0,"nie","brak",0
119,"A",5.1,"tak",0,"nie","brak",0
120,"C",7,"nie",4,"nie","brak",0
121,"A",4.5,"nie",0,"nie","brak",0
122,"A",4.9,"tak",0,"nie","brak",0
123,"C",3.6,"tak",5,"nie","brak",0
124,"A",3.8,"nie",0,"nie","brak",0
125,"B",4.7,"tak",0,"nie","brak",0
126,"C",1.9,"tak",3,"nie","brak",0
127,"B",8.9,"nie",5,"tak","lekki",2
128,"B",3.9,"tak",1,"nie","brak",0
129,"C",9.6,"tak",5,"nie","brak",0
130,"A",2.2,"tak",2,"nie","brak",0
131,"B",1.8,"tak",1,"nie","brak",0
132,"C",7,"tak",6,"tak","lekki",1
133,"B",2.7,"tak",2,"nie","brak",0
134,"A",2.4,"nie",0,"nie","brak",0
135,"C",2.7,"tak",3,"nie","brak",0
136,"A",4.5,"nie",2,"nie","brak",0
137,"B",6.1,"nie",6,"nie","brak",0
138,"C",7.2,"nie",3,"nie","brak",0
139,"B",2.4,"nie",2,"nie","brak",0
140,"A",1.5,"nie",0,"nie","brak",0
141,"A",1.8,"nie",2,"nie","brak",0
142,"B",4.8,"nie",3,"nie","brak",0
143,"C",8.9,"nie",3,"nie","brak",0
144,"C",0.6,"tak",3,"tak","lekki",0
145,"B",6.1,"nie",1,"nie","brak",0
146,"C",6.1,"tak",6,"nie","brak",0
147,"A",3.2,"nie",3,"nie","brak",0
148,"C",1.1,"tak",2,"nie","brak",0
149,"C",5.1,"nie",6,"nie","brak",0
150,"B",2.1,"tak",1,"nie","brak",0
151,"A",1.5,"nie",1,"nie","brak",0
152,"B",1.4,"nie",2,"tak","ciezki",19
153,"B",8.9,"tak",1,"nie","brak",0
154,"C",7.6,"nie",3,"nie","brak",0
155,"B",1.4,"tak",3,"nie","brak",0
156,"A",2.7,"nie",4,"nie","brak",0
157,"B",4.4,"tak",1,"nie","brak",0
158,"B",2.5,"nie",0,"nie","brak",0
159,"B",7,"nie",4,"nie","brak",0
160,"B",1.7,"nie",1,"nie","brak",0
161,"B",2.5,"nie",1,"nie","brak",0
162,"C",3.6,"nie",5,"nie","brak",0
163,"B",4.8,"tak",1,"nie","brak",0
164,"C",0.5,"nie",7,"tak","sredni",4
165,"C",4.6,"nie",6,"tak","lekki",2
166,"B",1.2,"nie",4,"tak","lekki",0
167,"C",6.6,"tak",3,"nie","brak",0
168,"A",4.1,"nie",0,"nie","brak",0
169,"C",8.2,"nie",8,"tak","sredni",5
170,"A",7.1,"tak",1,"nie","brak",0
171,"A",6.6,"nie",2,"nie","brak",0
172,"B",0.7,"nie",0,"nie","brak",0
173,"C",2.1,"nie",5,"nie","brak",0
174,"B",5.1,"nie",1,"nie","brak",0
175,"B",2.2,"tak",1,"nie","brak",0
176,"A",2,"tak",2,"nie","brak",0
177,"A",1,"tak",0,"nie","brak",0
178,"B",1.9,"nie",2,"nie","brak",0
179,"C",5.4,"tak",7,"nie","brak",0
180,"C",6.5,"tak",5,"nie","brak",0
181,"A",2,"nie",0,"nie","brak",0
182,"A",7.7,"tak",1,"nie","brak",0
183,"A",1.5,"nie",1,"nie","brak",0
184,"A",2.2,"tak",3,"nie","brak",0
185,"A",5.1,"tak",0,"nie","brak",0
186,"C",2.8,"tak",4,"nie","brak",0
187,"B",5.1,"tak",0,"nie","brak",0
188,"A",2.1,"nie",0,"nie","brak",0
189,"C",6.5,"tak",7,"nie","brak",0
190,"C",9.1,"nie",5,"tak","sredni",4
191,"A",2.9,"nie",2,"nie","brak",0
192,"C",4.2,"tak",3,"tak","lekki",1
193,"B",0.4,"nie",3,"nie","brak",0
194,"C",2.6,"nie",5,"nie","brak",0
195,"B",8.4,"tak",2,"nie","brak",0
196,"B",7,"tak",1,"nie","brak",0
197,"A",3.2,"nie",2,"nie","brak",0
198,"B",2.4,"nie",2,"nie","brak",0
199,"B",1.8,"tak",3,"nie","brak",0
200,"A",2.7,"nie",0,"nie","brak",0
