"zielony","czerwony","nir1","nir2","ndvi","klasa"
86,104,112,85,0.037,"gleba szara"
95,113,117,96,0.017,"gleba szara"
90,109,108,85,-0.005,"gleba szara"
82,96,100,78,0.02,"gleba szara bardzo wilgotna"
70,79,80,66,0.006,"gleba szara bardzo wilgotna"
66,75,80,66,0.032,"gleba szara bardzo wilgotna"
70,75,76,63,0.007,"gleba szara bardzo wilgotna"
74,83,84,66,0.006,"gleba szara bardzo wilgotna"
92,112,119,90,0.03,"gleba szara"
92,112,114,94,0.009,"gleba szara"
92,108,114,90,0.027,"gleba szara"
46,32,124,131,0.59,"uprawa bawelny"
75,84,101,79,0.092,"uprawa bawelny"
87,99,105,83,0.029,"gleba szara"
87,108,119,90,0.048,"gleba szara"
92,112,119,90,0.03,"gleba szara"
92,108,110,90,0.009,"gleba szara"
92,108,110,86,0.009,"gleba szara"
87,103,105,86,0.01,"gleba szara"
87,108,110,86,0.009,"gleba szara"
87,112,114,90,0.009,"gleba szara"
92,108,114,86,0.027,"gleba szara"
92,108,114,90,0.027,"gleba szara"
92,103,110,86,0.033,"gleba szara"
75,91,93,72,0.011,"gleba szara bardzo wilgotna"
71,77,82,64,0.031,"gleba szara bardzo wilgotna"
71,88,93,72,0.028,"gleba szara bardzo wilgotna"
93,106,114,90,0.036,"gleba szara"
53,49,114,108,0.399,"uprawa bawelny"
44,31,129,140,0.613,"uprawa bawelny"
44,34,129,143,0.583,"uprawa bawelny"
44,34,119,136,0.556,"uprawa bawelny"
47,37,114,126,0.51,"uprawa bawelny"
93,111,119,94,0.035,"gleba szara"
89,106,114,90,0.036,"gleba szara"
93,115,114,90,-0.004,"gleba szara"
67,75,82,62,0.045,"gleba szara bardzo wilgotna"
67,71,74,58,0.021,"gleba szara bardzo wilgotna"
78,84,89,73,0.029,"gleba szara bardzo wilgotna"
67,75,74,62,-0.007,"gleba szara bardzo wilgotna"
67,67,70,55,0.022,"gleba szara bardzo wilgotna"
88,102,111,87,0.042,"gleba szara"
76,77,102,83,0.14,"uprawa bawelny"
44,29,125,135,0.623,"uprawa bawelny"
50,31,131,135,0.617,"uprawa bawelny"
44,31,125,135,0.603,"uprawa bawelny"
44,29,136,146,0.648,"uprawa bawelny"
44,31,131,135,0.617,"uprawa bawelny"
88,106,111,87,0.023,"gleba szara"
92,115,115,91,0,"gleba szara"
88,111,115,91,0.018,"gleba szara"
92,111,115,91,0.018,"gleba szara"
88,106,111,87,0.023,"gleba szara"
60,62,67,54,0.039,"gleba szara bardzo wilgotna"
64,69,74,61,0.035,"gleba szara bardzo wilgotna"
68,81,86,72,0.03,"gleba szara bardzo wilgotna"
64,73,74,61,0.007,"gleba szara bardzo wilgotna"
72,77,82,68,0.031,"gleba szara bardzo wilgotna"
76,81,90,76,0.053,"gleba szara bardzo wilgotna"
68,69,71,57,0.014,"gleba szara bardzo wilgotna"
64,66,67,54,0.008,"gleba szara bardzo wilgotna"
46,31,128,135,0.61,"uprawa bawelny"
46,31,133,143,0.622,"uprawa bawelny"
46,34,128,135,0.58,"uprawa bawelny"
46,36,128,132,0.561,"uprawa bawelny"
53,45,108,103,0.412,"uprawa bawelny"
46,34,122,125,0.564,"uprawa bawelny"
50,34,118,125,0.553,"uprawa bawelny"
84,99,104,85,0.025,"gleba szara"
88,107,118,88,0.049,"gleba szara"
92,112,118,88,0.026,"gleba szara"
92,103,113,88,0.046,"gleba szara"
88,107,122,88,0.066,"gleba szara"
56,57,56,45,-0.009,"roslinnosc na sciernisku"
60,57,67,49,0.081,"roslinnosc na sciernisku"
60,57,67,49,0.081,"roslinnosc na sciernisku"
56,54,67,49,0.107,"roslinnosc na sciernisku"
64,71,75,63,0.027,"gleba szara bardzo wilgotna"
71,79,87,70,0.048,"gleba szara bardzo wilgotna"
68,75,79,67,0.026,"gleba szara bardzo wilgotna"
71,79,79,63,0,"gleba szara bardzo wilgotna"
64,71,79,59,0.053,"gleba szara bardzo wilgotna"
84,111,118,92,0.031,"gleba szara"
84,99,100,79,0.005,"gleba szara wilgotna"
44,32,139,141,0.626,"uprawa bawelny"
44,34,139,146,0.607,"uprawa bawelny"
44,32,128,137,0.6,"uprawa bawelny"
44,32,113,121,0.559,"uprawa bawelny"
51,37,118,112,0.523,"uprawa bawelny"
88,107,109,87,0.009,"gleba szara"
88,111,109,92,-0.009,"gleba szara"
93,111,118,92,0.031,"gleba szara"
93,111,118,92,0.031,"gleba szara"
75,79,89,67,0.06,"gleba szara bardzo wilgotna"
59,51,67,46,0.136,"roslinnosc na sciernisku"
71,87,96,75,0.049,"gleba szara bardzo wilgotna"
75,83,89,71,0.035,"gleba szara bardzo wilgotna"
86,104,108,89,0.019,"gleba szara"
78,83,96,74,0.073,"uprawa bawelny"
63,56,108,103,0.317,"uprawa bawelny"
46,32,138,144,0.624,"uprawa bawelny"
46,32,133,136,0.612,"uprawa bawelny"
46,34,127,129,0.578,"uprawa bawelny"
49,34,117,122,0.55,"uprawa bawelny"
86,104,112,85,0.037,"gleba szara"
90,113,117,96,0.017,"gleba szara"
90,113,112,92,-0.004,"gleba szara"
74,87,92,74,0.028,"gleba szara bardzo wilgotna"
74,79,84,66,0.031,"gleba szara bardzo wilgotna"
59,56,62,48,0.051,"roslinnosc na sciernisku"
59,56,66,44,0.082,"roslinnosc na sciernisku"
59,53,66,44,0.109,"roslinnosc na sciernisku"
56,53,66,48,0.109,"roslinnosc na sciernisku"
63,67,73,59,0.043,"gleba szara bardzo wilgotna"
70,79,84,66,0.031,"gleba szara bardzo wilgotna"
63,67,69,59,0.015,"gleba szara bardzo wilgotna"
59,63,73,59,0.074,"gleba szara bardzo wilgotna"
66,75,76,63,0.007,"gleba szara bardzo wilgotna"
92,112,124,94,0.051,"gleba szara"
83,99,101,75,0.01,"gleba szara"
79,91,97,75,0.032,"gleba szara wilgotna"
79,95,93,75,-0.011,"gleba szara wilgotna"
42,32,130,146,0.605,"uprawa bawelny"
42,34,130,142,0.585,"uprawa bawelny"
46,32,130,142,0.605,"uprawa bawelny"
42,34,124,135,0.57,"uprawa bawelny"
49,34,114,124,0.541,"uprawa bawelny"
49,40,105,116,0.448,"uprawa bawelny"
46,32,124,135,0.59,"uprawa bawelny"
42,32,119,127,0.576,"uprawa bawelny"
52,40,110,113,0.467,"uprawa bawelny"
96,117,114,94,-0.013,"gleba szara"
92,112,114,90,0.009,"gleba szara"
83,99,101,83,0.01,"gleba szara"
79,95,101,75,0.031,"gleba szara bardzo wilgotna"
79,84,86,68,0.012,"gleba szara bardzo wilgotna"
67,70,68,57,-0.014,"roslinnosc na sciernisku"
59,54,62,45,0.069,"roslinnosc na sciernisku"
59,60,72,57,0.091,"gleba szara bardzo wilgotna"
97,115,119,94,0.017,"gleba szara"
97,115,124,94,0.038,"gleba szara"
78,92,93,80,0.005,"gleba szara wilgotna"
78,88,97,80,0.049,"gleba szara wilgotna"
63,63,101,90,0.232,"uprawa bawelny"
44,34,129,143,0.583,"uprawa bawelny"
44,31,124,143,0.6,"uprawa bawelny"
44,34,129,140,0.583,"uprawa bawelny"
44,34,114,129,0.541,"uprawa bawelny"
44,31,124,136,0.6,"uprawa bawelny"
44,31,124,133,0.6,"uprawa bawelny"
47,40,110,111,0.467,"uprawa bawelny"
60,63,97,94,0.212,"uprawa bawelny"
78,92,97,76,0.026,"gleba szara bardzo wilgotna"
93,115,114,94,-0.004,"gleba szara"
97,115,114,94,-0.004,"gleba szara"
78,84,85,65,0.006,"gleba szara bardzo wilgotna"
53,60,63,48,0.024,"roslinnosc na sciernisku"
53,53,67,48,0.117,"roslinnosc na sciernisku"
57,56,63,51,0.059,"roslinnosc na sciernisku"
53,49,70,55,0.176,"roslinnosc na sciernisku"
57,56,70,48,0.111,"roslinnosc na sciernisku"
57,56,74,58,0.138,"roslinnosc na sciernisku"
63,63,74,62,0.08,"roslinnosc na sciernisku"
44,37,101,108,0.464,"uprawa bawelny"
53,53,85,76,0.232,"uprawa bawelny"
63,67,74,58,0.05,"gleba szara bardzo wilgotna"
92,115,120,94,0.021,"gleba szara"
80,89,98,79,0.048,"gleba szara wilgotna"
47,34,131,139,0.588,"uprawa bawelny"
44,31,125,139,0.603,"uprawa bawelny"
47,34,115,124,0.544,"uprawa bawelny"
47,40,115,116,0.484,"uprawa bawelny"
47,34,115,120,0.544,"uprawa bawelny"
47,37,111,105,0.5,"uprawa bawelny"
68,77,86,65,0.055,"gleba szara bardzo wilgotna"
88,111,115,94,0.018,"gleba szara"
88,111,115,91,0.018,"gleba szara"
88,106,111,87,0.023,"gleba szara"
84,98,106,83,0.039,"gleba szara"
88,98,106,79,0.039,"gleba szara"
84,98,98,79,0,"gleba szara"
76,81,90,65,0.053,"gleba szara bardzo wilgotna"
72,77,78,65,0.006,"gleba szara bardzo wilgotna"
64,69,71,57,0.014,"roslinnosc na sciernisku"
57,59,64,50,0.041,"roslinnosc na sciernisku"
53,52,78,65,0.2,"roslinnosc na sciernisku"
53,49,74,57,0.203,"roslinnosc na sciernisku"
57,55,74,61,0.147,"roslinnosc na sciernisku"
57,55,67,50,0.098,"roslinnosc na sciernisku"
44,29,106,113,0.57,"uprawa bawelny"
44,37,98,94,0.452,"uprawa bawelny"
80,99,104,81,0.025,"gleba szara"
84,95,96,78,0.005,"gleba szara wilgotna"
76,87,96,74,0.049,"gleba szara wilgotna"
80,95,100,81,0.026,"gleba szara wilgotna"
80,103,96,81,-0.035,"gleba szara wilgotna"
84,95,100,78,0.026,"gleba szara wilgotna"
76,87,87,74,0,"gleba szara wilgotna"
76,87,91,78,0.022,"gleba szara wilgotna"
68,68,100,85,0.19,"uprawa bawelny"
43,29,133,143,0.642,"uprawa bawelny"
46,31,133,139,0.622,"uprawa bawelny"
56,51,100,92,0.325,"uprawa bawelny"
68,71,91,70,0.123,"uprawa bawelny"
68,75,75,59,0,"gleba szara bardzo wilgotna"
68,75,83,59,0.051,"gleba szara bardzo wilgotna"
84,103,108,85,0.024,"gleba szara"
92,112,118,92,0.026,"gleba szara"
84,99,104,78,0.025,"gleba szara bardzo wilgotna"
84,95,104,78,0.045,"gleba szara bardzo wilgotna"
68,83,83,67,0,"gleba szara bardzo wilgotna"
71,75,83,67,0.051,"gleba szara bardzo wilgotna"
71,83,87,70,0.024,"gleba szara bardzo wilgotna"
71,79,83,67,0.025,"gleba szara bardzo wilgotna"
60,61,71,59,0.076,"roslinnosc na sciernisku"
84,95,100,79,0.026,"gleba szara wilgotna"
84,95,100,79,0.026,"gleba szara wilgotna"
79,91,96,75,0.027,"gleba szara wilgotna"
75,87,93,75,0.033,"uprawa bawelny"
44,32,118,125,0.573,"uprawa bawelny"
48,34,118,125,0.553,"uprawa bawelny"
44,34,123,129,0.567,"uprawa bawelny"
48,29,118,129,0.605,"uprawa bawelny"
67,72,77,54,0.034,"gleba szara bardzo wilgotna"
67,72,74,58,0.014,"gleba szara bardzo wilgotna"
67,79,81,62,0.013,"gleba szara bardzo wilgotna"
84,103,104,83,0.005,"gleba szara"
79,95,96,75,0.005,"gleba szara bardzo wilgotna"
71,83,85,67,0.012,"gleba szara bardzo wilgotna"
71,79,85,67,0.037,"gleba szara bardzo wilgotna"
63,64,85,75,0.141,"roslinnosc na sciernisku"
55,48,74,62,0.213,"roslinnosc na sciernisku"
41,27,123,129,0.64,"uprawa bawelny"
51,45,85,71,0.308,"uprawa bawelny"
82,100,100,78,0,"gleba szara wilgotna"
46,34,112,122,0.534,"uprawa bawelny"
49,34,117,125,0.55,"uprawa bawelny"
66,71,73,55,0.014,"gleba szara bardzo wilgotna"
66,79,84,63,0.031,"gleba szara bardzo wilgotna"
66,83,80,63,-0.018,"gleba szara bardzo wilgotna"
78,87,96,78,0.049,"gleba szara bardzo wilgotna"
74,79,84,66,0.031,"gleba szara bardzo wilgotna"
70,75,84,66,0.057,"gleba szara bardzo wilgotna"
70,83,88,70,0.029,"gleba szara bardzo wilgotna"
74,83,88,70,0.029,"gleba szara bardzo wilgotna"
74,83,88,74,0.029,"gleba szara bardzo wilgotna"
56,49,69,59,0.169,"roslinnosc na sciernisku"
52,49,76,59,0.216,"roslinnosc na sciernisku"
43,27,133,151,0.662,"uprawa bawelny"
43,27,122,133,0.638,"uprawa bawelny"
52,46,76,66,0.246,"roslinnosc na sciernisku"
83,99,105,79,0.029,"gleba szara"
83,99,101,83,0.01,"gleba szara wilgotna"
92,103,114,86,0.051,"gleba szara"
92,103,105,83,0.01,"gleba szara"
75,81,93,79,0.069,"uprawa bawelny"
49,37,114,120,0.51,"uprawa bawelny"
46,37,105,116,0.479,"uprawa bawelny"
49,40,105,113,0.448,"uprawa bawelny"
63,70,72,53,0.014,"gleba szara bardzo wilgotna"
67,66,72,53,0.043,"gleba szara bardzo wilgotna"
71,81,82,64,0.006,"gleba szara bardzo wilgotna"
71,81,82,64,0.006,"gleba szara bardzo wilgotna"
75,91,90,72,-0.006,"gleba szara bardzo wilgotna"
75,84,93,72,0.051,"gleba szara bardzo wilgotna"
75,91,97,72,0.032,"gleba szara bardzo wilgotna"
59,57,82,68,0.18,"roslinnosc na sciernisku"
59,60,82,68,0.155,"roslinnosc na sciernisku"
56,48,68,53,0.172,"roslinnosc na sciernisku"
56,51,68,60,0.143,"roslinnosc na sciernisku"
56,48,79,64,0.244,"roslinnosc na sciernisku"
52,37,110,116,0.497,"uprawa bawelny"
85,97,105,80,0.04,"gleba szara"
78,92,97,76,0.026,"gleba szara wilgotna"
82,92,101,83,0.047,"gleba szara wilgotna"
85,97,101,80,0.02,"gleba szara"
82,102,110,83,0.038,"gleba szara"
93,111,114,90,0.013,"gleba szara"
63,67,74,55,0.05,"gleba szara bardzo wilgotna"
67,67,70,55,0.022,"gleba szara bardzo wilgotna"
63,67,74,55,0.05,"gleba szara bardzo wilgotna"
67,75,82,62,0.045,"gleba szara bardzo wilgotna"
74,79,89,69,0.06,"gleba szara bardzo wilgotna"
74,84,85,73,0.006,"gleba szara bardzo wilgotna"
50,49,89,87,0.29,"uprawa bawelny"
42,29,114,129,0.594,"uprawa bawelny"
50,40,82,80,0.344,"uprawa bawelny"
97,111,115,94,0.018,"gleba szara"
84,98,102,79,0.02,"gleba szara"
88,98,106,87,0.039,"gleba szara"
64,73,74,54,0.007,"gleba szara bardzo wilgotna"
68,69,78,54,0.061,"gleba szara bardzo wilgotna"
68,77,78,61,0.006,"gleba szara bardzo wilgotna"
76,81,86,72,0.03,"gleba szara bardzo wilgotna"
72,81,90,72,0.053,"gleba szara bardzo wilgotna"
68,73,86,72,0.082,"roslinnosc na sciernisku"
57,52,90,76,0.268,"roslinnosc na sciernisku"
53,49,82,65,0.252,"roslinnosc na sciernisku"
57,55,71,61,0.127,"roslinnosc na sciernisku"
57,55,78,65,0.173,"roslinnosc na sciernisku"
41,31,98,113,0.519,"uprawa bawelny"
50,46,102,102,0.378,"uprawa bawelny"
44,37,115,120,0.513,"uprawa bawelny"
47,31,106,105,0.547,"uprawa bawelny"
47,37,94,87,0.435,"uprawa bawelny"
97,116,122,96,0.025,"gleba szara"
92,112,118,92,0.026,"gleba szara"
92,107,118,92,0.049,"gleba szara"
97,112,122,88,0.043,"gleba szara"
92,107,113,85,0.027,"gleba szara"
84,95,104,74,0.045,"gleba szara"
71,83,100,78,0.093,"uprawa bawelny"
68,71,79,59,0.053,"gleba szara bardzo wilgotna"
60,71,75,56,0.027,"gleba szara bardzo wilgotna"
64,75,75,56,0,"gleba szara bardzo wilgotna"
64,71,71,59,0,"gleba szara bardzo wilgotna"
68,71,67,56,-0.029,"gleba szara bardzo wilgotna"
68,75,71,56,-0.027,"gleba szara bardzo wilgotna"
68,75,83,67,0.051,"roslinnosc na sciernisku"
56,54,83,70,0.212,"roslinnosc na sciernisku"
56,54,83,70,0.212,"roslinnosc na sciernisku"
40,31,104,110,0.541,"uprawa bawelny"
46,34,104,103,0.507,"uprawa bawelny"
97,116,113,92,-0.013,"gleba szara"
88,107,109,87,0.009,"gleba szara"
97,111,109,87,-0.009,"gleba szara"
63,68,70,54,0.014,"gleba szara bardzo wilgotna"
67,72,74,54,0.014,"gleba szara bardzo wilgotna"
67,72,74,54,0.014,"gleba szara bardzo wilgotna"
67,68,74,54,0.042,"gleba szara bardzo wilgotna"
67,72,74,58,0.014,"gleba szara bardzo wilgotna"
67,72,81,67,0.059,"roslinnosc na sciernisku"
71,79,89,71,0.06,"gleba szara bardzo wilgotna"
63,64,77,62,0.092,"roslinnosc na sciernisku"
48,34,104,108,0.507,"uprawa bawelny"
44,34,100,100,0.493,"uprawa bawelny"
44,32,104,104,0.529,"uprawa bawelny"
99,113,117,96,0.017,"gleba szara"
95,113,117,96,0.017,"gleba szara"
95,113,112,89,-0.004,"gleba szara"
90,104,117,89,0.059,"gleba szara"
90,113,112,92,-0.004,"gleba szara"
63,75,76,59,0.007,"gleba szara bardzo wilgotna"
63,71,73,55,0.014,"gleba szara bardzo wilgotna"
66,79,80,59,0.006,"gleba szara bardzo wilgotna"
66,71,73,55,0.014,"gleba szara bardzo wilgotna"
66,71,73,55,0.014,"gleba szara bardzo wilgotna"
66,71,73,55,0.014,"gleba szara bardzo wilgotna"
66,71,73,59,0.014,"gleba szara bardzo wilgotna"
70,79,88,66,0.054,"gleba szara bardzo wilgotna"
78,83,84,66,0.006,"gleba szara bardzo wilgotna"
70,79,96,78,0.097,"gleba szara bardzo wilgotna"
70,79,92,81,0.076,"roslinnosc na sciernisku"
66,71,88,78,0.107,"roslinnosc na sciernisku"
66,71,92,74,0.129,"roslinnosc na sciernisku"
66,71,80,66,0.06,"roslinnosc na sciernisku"
66,75,80,70,0.032,"gleba szara bardzo wilgotna"
66,71,76,63,0.034,"gleba szara wilgotna"
46,32,104,111,0.529,"uprawa bawelny"
46,34,104,118,0.507,"uprawa bawelny"
43,27,108,125,0.6,"uprawa bawelny"
49,40,96,100,0.412,"uprawa bawelny"
96,112,114,94,0.009,"gleba szara"
92,112,114,90,0.009,"gleba szara"
92,108,114,90,0.027,"gleba szara"
96,108,110,90,0.009,"gleba szara"
96,117,119,94,0.008,"gleba szara"
92,117,114,90,-0.013,"gleba szara"
63,70,75,53,0.034,"gleba szara bardzo wilgotna"
67,73,79,57,0.039,"gleba szara bardzo wilgotna"
71,84,86,64,0.012,"gleba szara bardzo wilgotna"
71,73,82,60,0.058,"gleba szara bardzo wilgotna"
67,73,72,57,-0.007,"gleba szara bardzo wilgotna"
63,70,72,57,0.014,"gleba szara bardzo wilgotna"
63,70,68,57,-0.014,"gleba szara bardzo wilgotna"
71,81,82,64,0.006,"gleba szara bardzo wilgotna"
71,81,79,64,-0.013,"gleba szara bardzo wilgotna"
67,73,79,60,0.039,"gleba szara bardzo wilgotna"
75,81,82,64,0.006,"gleba szara bardzo wilgotna"
83,99,105,75,0.029,"gleba szara bardzo wilgotna"
79,84,93,75,0.051,"gleba szara bardzo wilgotna"
63,70,82,72,0.079,"roslinnosc na sciernisku"
63,70,82,68,0.079,"roslinnosc na sciernisku"
71,77,90,72,0.078,"gleba szara bardzo wilgotna"
75,81,86,72,0.03,"gleba szara wilgotna"
46,32,110,120,0.549,"uprawa bawelny"
42,30,105,116,0.556,"uprawa bawelny"
93,111,114,87,0.013,"gleba szara"
82,88,97,73,0.049,"gleba szara bardzo wilgotna"
78,84,89,69,0.029,"gleba szara bardzo wilgotna"
63,71,78,55,0.047,"gleba szara bardzo wilgotna"
67,75,82,65,0.045,"gleba szara bardzo wilgotna"
70,75,82,62,0.045,"gleba szara bardzo wilgotna"
70,79,85,65,0.037,"gleba szara bardzo wilgotna"
