x,y,ndvi
17.005,51.23805,0.472
17.007,51.23805,0.471
17.009,51.23805,0.506
17.011,51.23805,0.502
17.013,51.23805,0.493
17.015,51.23805,0.531
17.017,51.23805,0.503
17.019,51.23805,0.512
17.021,51.23805,0.544
17.023,51.23805,0.526
17.025,51.23805,0.551
17.027,51.23805,0.512
17.029,51.23805,0.533
17.031,51.23805,0.521
17.033,51.23805,0.52
17.035,51.23805,0.537
17.037,51.23805,0.527
17.039,51.23805,0.529
17.041,51.23805,0.507
17.043,51.23805,0.472
17.045,51.23805,0.524
17.047,51.23805,0.502
17.049,51.23805,0.496
17.051,51.23805,0.513
17.053,51.23805,0.49
17.055,51.23805,0.495
17.057,51.23805,0.469
17.059,51.23805,0.506
17.061,51.23805,0.498
17.063,51.23805,0.509
17.065,51.23805,0.497
17.067,51.23805,0.531
17.069,51.23805,0.466
17.071,51.23805,0.489
17.073,51.23805,0.52
17.075,51.23805,0.498
17.077,51.23805,0.478
17.079,51.23805,0.485
17.081,51.23805,0.533
17.083,51.23805,0.481
17.085,51.23805,0.517
17.087,51.23805,0.517
17.089,51.23805,0.459
17.091,51.23805,0.496
17.093,51.23805,0.533
17.095,51.23805,0.508
17.097,51.23805,0.515
17.099,51.23805,0.505
17.101,51.23805,0.548
17.103,51.23805,0.512
17.105,51.23805,0.497
17.107,51.23805,0.522
17.109,51.23805,0.508
17.111,51.23805,0.531
17.113,51.23805,0.546
17.115,51.23805,0.483
17.117,51.23805,0.496
17.119,51.23805,0.486
17.121,51.23805,0.467
17.123,51.23805,0.471
17.125,51.23805,0.447
17.127,51.23805,0.406
17.129,51.23805,0.377
17.131,51.23805,0.411
17.133,51.23805,0.369
17.135,51.23805,0.399
17.137,51.23805,0.374
17.139,51.23805,0.379
17.141,51.23805,0.364
17.143,51.23805,0.405
17.145,51.23805,0.405
17.147,51.23805,0.428
17.149,51.23805,0.487
17.151,51.23805,0.533
17.153,51.23805,0.545
17.155,51.23805,0.601
17.157,51.23805,0.596
17.159,51.23805,0.605
17.161,51.23805,0.618
17.163,51.23805,0.645
17.165,51.23805,0.665
17.167,51.23805,0.649
17.169,51.23805,0.644
17.171,51.23805,0.679
17.173,51.23805,0.638
17.175,51.23805,0.617
17.177,51.23805,0.626
17.179,51.23805,0.63
17.181,51.23805,0.632
17.183,51.23805,0.614
17.185,51.23805,0.618
17.187,51.23805,0.592
17.189,51.23805,0.586
17.191,51.23805,0.575
17.193,51.23805,0.566
17.195,51.23805,0.593
17.197,51.23805,0.562
17.199,51.23805,0.587
17.201,51.23805,0.51
17.203,51.23805,0.548
17.205,51.23805,0.505
17.207,51.23805,0.526
17.209,51.23805,0.515
17.211,51.23805,0.516
17.213,51.23805,0.497
17.215,51.23805,0.516
17.217,51.23805,0.498
17.219,51.23805,0.505
17.221,51.23805,0.521
17.223,51.23805,0.51
17.225,51.23805,0.537
17.227,51.23805,0.527
17.229,51.23805,0.59
17.231,51.23805,0.584
17.233,51.23805,0.559
17.235,51.23805,0.563
17.237,51.23805,0.549
17.239,51.23805,0.56
17.241,51.23805,0.599
17.243,51.23805,0.582
17.245,51.23805,0.637
17.247,51.23805,0.581
17.249,51.23805,0.603
16.851,51.23675,0.605
16.853,51.23675,0.593
16.855,51.23675,0.601
16.857,51.23675,0.577
16.859,51.23675,0.58
16.861,51.23675,0.553
16.863,51.23675,0.547
16.865,51.23675,0.551
16.867,51.23675,0.506
16.869,51.23675,0.539
16.871,51.23675,0.478
16.873,51.23675,0.522
16.875,51.23675,0.523
16.877,51.23675,0.501
16.879,51.23675,0.469
16.881,51.23675,0.49
16.883,51.23675,0.485
16.885,51.23675,0.489
16.887,51.23675,0.447
16.889,51.23675,0.505
16.891,51.23675,0.506
16.893,51.23675,0.539
16.895,51.23675,0.513
16.897,51.23675,0.523
16.899,51.23675,0.53
16.901,51.23675,0.54
16.903,51.23675,0.549
16.905,51.23675,0.529
16.907,51.23675,0.516
16.909,51.23675,0.538
16.911,51.23675,0.517
16.913,51.23675,0.511
16.915,51.23675,0.549
16.917,51.23675,0.54
16.919,51.23675,0.498
16.921,51.23675,0.582
16.923,51.23675,0.548
16.925,51.23675,0.546
16.927,51.23675,0.51
16.929,51.23675,0.514
16.931,51.23675,0.507
16.933,51.23675,0.541
16.935,51.23675,0.477
16.937,51.23675,0.475
16.939,51.23675,0.486
16.941,51.23675,0.473
16.943,51.23675,0.435
16.945,51.23675,0.406
16.947,51.23675,0.423
16.949,51.23675,0.406
16.951,51.23675,0.408
16.953,51.23675,0.372
16.955,51.23675,0.372
16.957,51.23675,0.358
16.959,51.23675,0.354
16.961,51.23675,0.374
16.963,51.23675,0.397
16.965,51.23675,0.371
16.967,51.23675,0.373
16.969,51.23675,0.389
16.971,51.23675,0.413
16.973,51.23675,0.43
16.975,51.23675,0.427
16.977,51.23675,0.424
16.979,51.23675,0.403
16.981,51.23675,0.468
16.983,51.23675,0.464
16.985,51.23675,0.461
16.987,51.23675,0.452
16.989,51.23675,0.446
16.991,51.23675,0.452
16.993,51.23675,0.438
16.995,51.23675,0.479
16.997,51.23675,0.437
16.999,51.23675,0.501
17.001,51.23675,0.473
17.003,51.23675,0.491
17.005,51.23675,0.489
17.007,51.23675,0.503
17.009,51.23675,0.501
17.011,51.23675,0.486
17.013,51.23675,0.521
17.015,51.23675,0.534
17.017,51.23675,0.57
17.019,51.23675,0.53
17.021,51.23675,0.538
17.023,51.23675,0.56
17.025,51.23675,0.521
17.027,51.23675,0.576
17.029,51.23675,0.559
17.031,51.23675,0.522
17.033,51.23675,0.582
17.035,51.23675,0.538
17.037,51.23675,0.546
17.039,51.23675,0.534
17.041,51.23675,0.547
17.043,51.23675,0.525
17.045,51.23675,0.521
17.047,51.23675,0.483
17.049,51.23675,0.506
17.051,51.23675,0.518
17.053,51.23675,0.536
17.055,51.23675,0.51
17.057,51.23675,0.491
17.059,51.23675,0.447
17.061,51.23675,0.542
17.063,51.23675,0.523
17.065,51.23675,0.475
17.067,51.23675,0.511
17.069,51.23675,0.492
17.071,51.23675,0.51
17.073,51.23675,0.472
17.075,51.23675,0.492
17.077,51.23675,0.509
17.079,51.23675,0.465
17.081,51.23675,0.495
17.083,51.23675,0.489
17.085,51.23675,0.465
17.087,51.23675,0.471
17.089,51.23675,0.498
17.091,51.23675,0.465
17.093,51.23675,0.441
17.095,51.23675,0.531
17.097,51.23675,0.526
17.099,51.23675,0.512
17.101,51.23675,0.524
17.103,51.23675,0.477
17.105,51.23675,0.539
17.107,51.23675,0.521
17.109,51.23675,0.513
17.111,51.23675,0.492
17.113,51.23675,0.514
17.115,51.23675,0.537
17.117,51.23675,0.499
17.119,51.23675,0.499
17.121,51.23675,0.465
17.123,51.23675,0.467
17.125,51.23675,0.416
17.127,51.23675,0.417
17.129,51.23675,0.413
17.131,51.23675,0.431
17.133,51.23675,0.414
17.135,51.23675,0.379
17.137,51.23675,0.435
17.139,51.23675,0.372
17.141,51.23675,0.424
17.143,51.23675,0.413
17.145,51.23675,0.446
17.147,51.23675,0.456
17.149,51.23675,0.458
17.151,51.23675,0.52
17.153,51.23675,0.516
17.155,51.23675,0.576
17.157,51.23675,0.622
17.159,51.23675,0.594
17.161,51.23675,0.643
17.163,51.23675,0.583
17.165,51.23675,0.671
17.167,51.23675,0.676
17.169,51.23675,0.682
17.171,51.23675,0.663
17.173,51.23675,0.668
17.175,51.23675,0.631
17.177,51.23675,0.621
17.179,51.23675,0.617
17.181,51.23675,0.654
17.183,51.23675,0.611
17.185,51.23675,0.615
17.187,51.23675,0.562
17.189,51.23675,0.62
17.191,51.23675,0.607
17.193,51.23675,0.546
17.195,51.23675,0.55
17.197,51.23675,0.56
17.199,51.23675,0.555
17.201,51.23675,0.549
17.203,51.23675,0.513
17.205,51.23675,0.575
17.207,51.23675,0.54
17.209,51.23675,0.509
17.211,51.23675,0.518
17.213,51.23675,0.493
17.215,51.23675,0.541
17.217,51.23675,0.502
17.219,51.23675,0.525
17.221,51.23675,0.511
17.223,51.23675,0.507
17.225,51.23675,0.511
17.227,51.23675,0.52
17.229,51.23675,0.537
17.231,51.23675,0.545
17.233,51.23675,0.554
17.235,51.23675,0.549
17.237,51.23675,0.586
17.239,51.23675,0.569
17.241,51.23675,0.605
17.243,51.23675,0.609
17.245,51.23675,0.558
17.247,51.23675,0.612
17.249,51.23675,0.597
16.851,51.23545,0.595
16.853,51.23545,0.585
16.855,51.23545,0.604
16.857,51.23545,0.602
16.859,51.23545,0.598
16.861,51.23545,0.541
16.863,51.23545,0.528
16.865,51.23545,0.551
16.867,51.23545,0.539
16.869,51.23545,0.531
16.871,51.23545,0.529
16.873,51.23545,0.474
16.875,51.23545,0.512
16.877,51.23545,0.498
16.879,51.23545,0.461
16.881,51.23545,0.504
16.883,51.23545,0.495
16.885,51.23545,0.479
16.887,51.23545,0.433
16.889,51.23545,0.516
16.891,51.23545,0.509
16.893,51.23545,0.504
16.895,51.23545,0.491
16.897,51.23545,0.479
16.899,51.23545,0.512
16.901,51.23545,0.521
16.903,51.23545,0.498
16.905,51.23545,0.515
16.907,51.23545,0.522
16.909,51.23545,0.542
16.911,51.23545,0.523
16.913,51.23545,0.527
16.915,51.23545,0.555
16.917,51.23545,0.548
16.919,51.23545,0.572
16.921,51.23545,0.54
16.923,51.23545,0.56
16.925,51.23545,0.546
16.927,51.23545,0.497
16.929,51.23545,0.529
16.931,51.23545,0.494
16.933,51.23545,0.525
16.935,51.23545,0.518
16.937,51.23545,0.483
16.939,51.23545,0.459
16.941,51.23545,0.467
16.943,51.23545,0.433
16.945,51.23545,0.448
16.947,51.23545,0.419
16.949,51.23545,0.425
16.951,51.23545,0.383
16.953,51.23545,0.381
16.955,51.23545,0.394
16.957,51.23545,0.378
16.959,51.23545,0.403
16.961,51.23545,0.363
16.963,51.23545,0.386
16.965,51.23545,0.407
16.967,51.23545,0.404
16.969,51.23545,0.411
16.971,51.23545,0.4
16.973,51.23545,0.422
16.975,51.23545,0.462
16.977,51.23545,0.409
16.979,51.23545,0.443
16.981,51.23545,0.507
16.983,51.23545,0.422
16.985,51.23545,0.435
16.987,51.23545,0.446
16.989,51.23545,0.476
16.991,51.23545,0.454
16.993,51.23545,0.469
16.995,51.23545,0.484
16.997,51.23545,0.419
16.999,51.23545,0.471
17.001,51.23545,0.473
17.003,51.23545,0.458
17.005,51.23545,0.451
17.007,51.23545,0.509
17.009,51.23545,0.509
17.011,51.23545,0.502
17.013,51.23545,0.53
17.015,51.23545,0.554
17.017,51.23545,0.534
17.019,51.23545,0.543
17.021,51.23545,0.564
17.023,51.23545,0.552
17.025,51.23545,0.536
17.027,51.23545,0.529
17.029,51.23545,0.561
17.031,51.23545,0.548
17.033,51.23545,0.553
17.035,51.23545,0.523
17.037,51.23545,0.506
17.039,51.23545,0.538
17.041,51.23545,0.556
17.043,51.23545,0.547
17.045,51.23545,0.518
17.047,51.23545,0.534
17.049,51.23545,0.537
17.051,51.23545,0.468
17.053,51.23545,0.535
17.055,51.23545,0.505
17.057,51.23545,0.524
17.059,51.23545,0.513
17.061,51.23545,0.487
17.063,51.23545,0.503
17.065,51.23545,0.487
17.067,51.23545,0.5
17.069,51.23545,0.509
17.071,51.23545,0.496
17.073,51.23545,0.478
17.075,51.23545,0.505
17.077,51.23545,0.473
17.079,51.23545,0.469
17.081,51.23545,0.463
17.083,51.23545,0.468
17.085,51.23545,0.447
17.087,51.23545,0.485
17.089,51.23545,0.507
17.091,51.23545,0.528
17.093,51.23545,0.504
17.095,51.23545,0.504
17.097,51.23545,0.547
17.099,51.23545,0.511
17.101,51.23545,0.556
17.103,51.23545,0.527
17.105,51.23545,0.504
17.107,51.23545,0.513
17.109,51.23545,0.499
17.111,51.23545,0.551
17.113,51.23545,0.51
17.115,51.23545,0.51
17.117,51.23545,0.481
17.119,51.23545,0.479
17.121,51.23545,0.475
17.123,51.23545,0.466
17.125,51.23545,0.478
17.127,51.23545,0.454
17.129,51.23545,0.43
17.131,51.23545,0.367
17.133,51.23545,0.405
17.135,51.23545,0.379
17.137,51.23545,0.357
17.139,51.23545,0.405
17.141,51.23545,0.396
17.143,51.23545,0.432
17.145,51.23545,0.45
17.147,51.23545,0.502
17.149,51.23545,0.499
17.151,51.23545,0.517
17.153,51.23545,0.535
17.155,51.23545,0.564
17.157,51.23545,0.565
17.159,51.23545,0.613
17.161,51.23545,0.613
17.163,51.23545,0.643
17.165,51.23545,0.644
17.167,51.23545,0.639
17.169,51.23545,0.68
17.171,51.23545,0.627
17.173,51.23545,0.65
17.175,51.23545,0.645
17.177,51.23545,0.663
17.179,51.23545,0.649
17.181,51.23545,0.61
17.183,51.23545,0.629
17.185,51.23545,0.629
17.187,51.23545,0.636
17.189,51.23545,0.568
17.191,51.23545,0.579
17.193,51.23545,0.572
17.195,51.23545,0.563
17.197,51.23545,0.558
17.199,51.23545,0.563
17.201,51.23545,0.575
17.203,51.23545,0.534
17.205,51.23545,0.502
17.207,51.23545,0.51
17.209,51.23545,0.535
17.211,51.23545,0.513
17.213,51.23545,0.481
17.215,51.23545,0.528
17.217,51.23545,0.524
17.219,51.23545,0.527
17.221,51.23545,0.497
17.223,51.23545,0.49
17.225,51.23545,0.538
17.227,51.23545,0.533
17.229,51.23545,0.565
17.231,51.23545,0.518
17.233,51.23545,0.554
17.235,51.23545,0.557
17.237,51.23545,0.589
17.239,51.23545,0.591
17.241,51.23545,0.577
17.243,51.23545,0.595
17.245,51.23545,0.643
17.247,51.23545,0.606
17.249,51.23545,0.084
16.851,51.23415,0.602
16.853,51.23415,0.573
16.855,51.23415,0.608
16.857,51.23415,0.595
16.859,51.23415,0.536
16.861,51.23415,0.577
16.863,51.23415,0.55
16.865,51.23415,0.564
16.867,51.23415,0.566
16.869,51.23415,0.54
16.871,51.23415,0.543
16.873,51.23415,0.48
16.875,51.23415,0.515
16.877,51.23415,0.477
16.879,51.23415,0.529
16.881,51.23415,0.459
16.883,51.23415,0.474
16.885,51.23415,0.484
16.887,51.23415,0.524
16.889,51.23415,0.491
16.891,51.23415,0.51
16.893,51.23415,0.509
16.895,51.23415,0.492
16.897,51.23415,0.517
16.899,51.23415,0.524
16.901,51.23415,0.492
16.903,51.23415,0.551
16.905,51.23415,0.507
16.907,51.23415,0.554
16.909,51.23415,0.579
16.911,51.23415,0.555
16.913,51.23415,0.52
16.915,51.23415,0.542
16.917,51.23415,0.571
16.919,51.23415,0.509
16.921,51.23415,0.541
16.923,51.23415,0.566
16.925,51.23415,0.561
16.927,51.23415,0.533
16.929,51.23415,0.537
16.931,51.23415,0.529
16.933,51.23415,0.482
16.935,51.23415,0.543
16.937,51.23415,0.506
16.939,51.23415,0.502
16.941,51.23415,0.451
16.943,51.23415,0.464
16.945,51.23415,0.411
16.947,51.23415,0.451
16.949,51.23415,0.452
16.951,51.23415,0.391
16.953,51.23415,0.415
16.955,51.23415,0.402
16.957,51.23415,0.391
16.959,51.23415,0.37
16.961,51.23415,0.429
16.963,51.23415,0.404
16.965,51.23415,0.42
16.967,51.23415,0.418
16.969,51.23415,0.415
16.971,51.23415,0.396
16.973,51.23415,0.438
16.975,51.23415,0.461
16.977,51.23415,0.467
16.979,51.23415,0.457
16.981,51.23415,0.483
16.983,51.23415,0.503
16.985,51.23415,0.463
16.987,51.23415,0.491
16.989,51.23415,0.514
16.991,51.23415,0.439
16.993,51.23415,0.498
16.995,51.23415,0.467
16.997,51.23415,0.475
16.999,51.23415,0.478
17.001,51.23415,0.446
17.003,51.23415,0.513
17.005,51.23415,0.519
17.007,51.23415,0.514
17.009,51.23415,0.488
17.011,51.23415,0.503
17.013,51.23415,0.548
17.015,51.23415,0.503
17.017,51.23415,0.541
17.019,51.23415,0.534
17.021,51.23415,0.526
17.023,51.23415,0.575
17.025,51.23415,0.554
17.027,51.23415,0.514
17.029,51.23415,0.518
17.031,51.23415,0.539
17.033,51.23415,0.565
17.035,51.23415,0.525
17.037,51.23415,0.548
17.039,51.23415,0.566
17.041,51.23415,0.489
17.043,51.23415,0.546
17.045,51.23415,0.517
17.047,51.23415,0.554
17.049,51.23415,0.48
17.051,51.23415,0.483
17.053,51.23415,0.536
17.055,51.23415,0.507
17.057,51.23415,0.497
17.059,51.23415,0.509
17.061,51.23415,0.512
17.063,51.23415,0.541
17.065,51.23415,0.492
17.067,51.23415,0.519
17.069,51.23415,0.473
17.071,51.23415,0.495
17.073,51.23415,0.462
17.075,51.23415,0.466
17.077,51.23415,0.457
17.079,51.23415,0.496
17.081,51.23415,0.484
17.083,51.23415,0.486
17.085,51.23415,0.451
17.087,51.23415,0.492
17.089,51.23415,0.493
17.091,51.23415,0.514
17.093,51.23415,0.478
17.095,51.23415,0.509
17.097,51.23415,0.503
17.099,51.23415,0.499
17.101,51.23415,0.518
17.103,51.23415,0.507
17.105,51.23415,0.48
17.107,51.23415,0.561
17.109,51.23415,0.51
17.111,51.23415,0.554
17.113,51.23415,0.487
17.115,51.23415,0.484
17.117,51.23415,0.508
17.119,51.23415,0.549
17.121,51.23415,0.466
17.123,51.23415,0.502
17.125,51.23415,0.467
17.127,51.23415,0.451
17.129,51.23415,0.432
17.131,51.23415,0.433
17.133,51.23415,0.405
17.135,51.23415,0.386
17.137,51.23415,0.441
17.139,51.23415,0.377
17.141,51.23415,0.417
17.143,51.23415,0.426
17.145,51.23415,0.437
17.147,51.23415,0.489
17.149,51.23415,0.464
17.151,51.23415,0.537
17.153,51.23415,0.528
17.155,51.23415,0.559
17.157,51.23415,0.604
17.159,51.23415,0.626
17.161,51.23415,0.648
17.163,51.23415,0.589
17.165,51.23415,0.646
17.167,51.23415,0.655
17.169,51.23415,0.683
17.171,51.23415,0.646
17.173,51.23415,0.631
17.175,51.23415,0.65
17.177,51.23415,0.647
17.179,51.23415,0.617
17.181,51.23415,0.639
17.183,51.23415,0.604
17.185,51.23415,0.606
17.187,51.23415,0.621
17.189,51.23415,0.607
17.191,51.23415,0.598
17.193,51.23415,0.574
17.195,51.23415,0.557
17.197,51.23415,0.579
17.199,51.23415,0.565
17.201,51.23415,0.527
17.203,51.23415,0.529
17.205,51.23415,0.529
17.207,51.23415,0.575
17.209,51.23415,0.519
17.211,51.23415,0.542
17.213,51.23415,0.496
17.215,51.23415,0.497
17.217,51.23415,0.524
17.219,51.23415,0.537
17.221,51.23415,0.505
17.223,51.23415,0.498
17.225,51.23415,0.528
17.227,51.23415,0.528
17.229,51.23415,0.55
17.231,51.23415,0.528
17.233,51.23415,0.513
17.235,51.23415,0.615
17.237,51.23415,0.55
17.239,51.23415,0.568
17.241,51.23415,0.583
17.243,51.23415,0.56
17.245,51.23415,-0.018
17.247,51.23415,0.002
17.249,51.23415,0.012
16.851,51.23285,0.574
16.853,51.23285,0.559
16.855,51.23285,0.588
16.857,51.23285,0.581
16.859,51.23285,0.559
16.861,51.23285,0.55
16.863,51.23285,0.56
16.865,51.23285,0.545
16.867,51.23285,0.547
16.869,51.23285,0.531
16.871,51.23285,0.531
16.873,51.23285,0.52
16.875,51.23285,0.505
16.877,51.23285,0.514
16.879,51.23285,0.476
16.881,51.23285,0.49
16.883,51.23285,0.465
16.885,51.23285,0.46
16.887,51.23285,0.445
16.889,51.23285,0.455
16.891,51.23285,0.476
16.893,51.23285,0.525
16.895,51.23285,0.524
16.897,51.23285,0.477
16.899,51.23285,0.514
16.901,51.23285,0.553
16.903,51.23285,0.514
16.905,51.23285,0.513
16.907,51.23285,0.544
16.909,51.23285,0.557
16.911,51.23285,0.606
16.913,51.23285,0.539
16.915,51.23285,0.562
16.917,51.23285,0.552
16.919,51.23285,0.554
16.921,51.23285,0.568
16.923,51.23285,0.558
16.925,51.23285,0.55
16.927,51.23285,0.57
16.929,51.23285,0.535
16.931,51.23285,0.509
16.933,51.23285,0.533
16.935,51.23285,0.542
16.937,51.23285,0.51
16.939,51.23285,0.514
16.941,51.23285,0.478
16.943,51.23285,0.483
16.945,51.23285,0.446
16.947,51.23285,0.443
16.949,51.23285,0.428
16.951,51.23285,0.413
16.953,51.23285,0.426
16.955,51.23285,0.421
16.957,51.23285,0.427
16.959,51.23285,0.461
16.961,51.23285,0.42
16.963,51.23285,0.418
16.965,51.23285,0.426
16.967,51.23285,0.417
16.969,51.23285,0.482
16.971,51.23285,0.451
16.973,51.23285,0.468
16.975,51.23285,0.463
16.977,51.23285,0.481
16.979,51.23285,0.473
16.981,51.23285,0.51
16.983,51.23285,0.478
16.985,51.23285,0.479
16.987,51.23285,0.491
16.989,51.23285,0.495
16.991,51.23285,0.477
16.993,51.23285,0.472
16.995,51.23285,0.464
16.997,51.23285,0.506
16.999,51.23285,0.505
