"nazwa","norad","konstelacja","inklinacja","ekscentrycznosc","obiegi_na_dobe","wysokosc_km","okres_min","typ_orbity"
"IRIDIUM 135",43070,"Iridium NEXT",86.4,0.0002288,14.3422,784.8,100.4,"LEO"
"IRIDIUM 136",42962,"Iridium NEXT",86.4,0.0002139,14.3422,784.8,100.4,"LEO"
"IRIDIUM 137",43076,"Iridium NEXT",86.4,0.0001901,14.3422,784.8,100.4,"LEO"
"IRIDIUM 138",43071,"Iridium NEXT",86.4,0.0002331,14.3422,784.8,100.4,"LEO"
"IRIDIUM 139",42963,"Iridium NEXT",86.4,0.0002234,14.3422,784.8,100.4,"LEO"
"IRIDIUM 140",43252,"Iridium NEXT",86.39,0.0002227,14.3422,784.8,100.4,"LEO"
"IRIDIUM 141",43077,"Iridium NEXT",86.39,0.0002259,14.3422,784.8,100.4,"LEO"
"IRIDIUM 142",43256,"Iridium NEXT",86.39,0.000216,14.3422,784.8,100.4,"LEO"
"IRIDIUM 143",43258,"Iridium NEXT",86.39,0.0002358,14.3422,784.8,100.4,"LEO"
"IRIDIUM 144",43249,"Iridium NEXT",86.39,0.0002301,14.3422,784.8,100.4,"LEO"
"IRIDIUM 145",43253,"Iridium NEXT",86.39,0.0002231,14.3422,784.8,100.4,"LEO"
"IRIDIUM 146",43254,"Iridium NEXT",86.39,0.0002216,14.3422,784.8,100.4,"LEO"
"IRIDIUM 147",43480,"Iridium NEXT",86.39,0.0002127,14.3422,784.8,100.4,"LEO"
"IRIDIUM 148",43255,"Iridium NEXT",86.39,0.0002072,14.3422,784.8,100.4,"LEO"
"IRIDIUM 149",43250,"Iridium NEXT",86.39,0.0002196,14.3422,784.8,100.4,"LEO"
"IRIDIUM 150",43257,"Iridium NEXT",86.39,0.0002346,14.3422,784.8,100.4,"LEO"
"IRIDIUM 151",43074,"Iridium NEXT",86.4,0.0002153,14.3422,784.8,100.4,"LEO"
"IRIDIUM 152",43479,"Iridium NEXT",86.39,0.0002152,14.3422,784.8,100.4,"LEO"
"IRIDIUM 153",43078,"Iridium NEXT",86.39,0.000226,14.3422,784.8,100.4,"LEO"
"IRIDIUM 154",43574,"Iridium NEXT",86.4,0.0002099,14.3422,784.8,100.4,"LEO"
"IRIDIUM 155",43573,"Iridium NEXT",86.4,0.0002233,14.3422,784.8,100.4,"LEO"
"IRIDIUM 156",43576,"Iridium NEXT",86.4,0.0002239,14.3422,784.8,100.4,"LEO"
"IRIDIUM 157",43251,"Iridium NEXT",86.39,0.0002185,14.3422,784.8,100.4,"LEO"
"IRIDIUM 158",43571,"Iridium NEXT",86.4,0.0002105,14.3422,784.8,100.4,"LEO"
"IRIDIUM 159",43578,"Iridium NEXT",86.4,0.0002134,14.3422,784.8,100.4,"LEO"
"IRIDIUM 160",43569,"Iridium NEXT",86.4,0.0002104,14.3422,784.8,100.4,"LEO"
"IRIDIUM 161",43478,"Iridium NEXT",86.44,0.0002085,14.4328,754.8,99.8,"LEO"
"IRIDIUM 162",43482,"Iridium NEXT",86.44,0.0002244,14.4328,754.8,99.8,"LEO"
"IRIDIUM 163",43575,"Iridium NEXT",86.4,0.0002157,14.3422,784.8,100.4,"LEO"
"IRIDIUM 164",43577,"Iridium NEXT",86.4,0.0002001,14.3422,784.8,100.4,"LEO"
"IRIDIUM 165",43572,"Iridium NEXT",86.4,0.0002165,14.3422,784.8,100.4,"LEO"
"IRIDIUM 166",43570,"Iridium NEXT",86.4,0.0002155,14.3422,784.8,100.4,"LEO"
"IRIDIUM 167",43931,"Iridium NEXT",86.4,0.0002264,14.3422,784.8,100.4,"LEO"
"IRIDIUM 168",43924,"Iridium NEXT",86.4,0.0002217,14.3422,784.8,100.4,"LEO"
"IRIDIUM 169",43926,"Iridium NEXT",86.43,0.0002708,14.3861,770.2,100.1,"LEO"
"IRIDIUM 170",43930,"Iridium NEXT",86.61,0.0002349,14.7225,661,97.8,"LEO"
"IRIDIUM 171",43929,"Iridium NEXT",86.4,0.0002257,14.3422,784.8,100.4,"LEO"
"IRIDIUM 172",43927,"Iridium NEXT",86.4,0.0002245,14.3422,784.8,100.4,"LEO"
"IRIDIUM 173",43925,"Iridium NEXT",86.4,0.0002146,14.3422,784.8,100.4,"LEO"
"IRIDIUM 174",56728,"Iridium NEXT",86.61,0.0002611,14.7225,661,97.8,"LEO"
"IRIDIUM 175",43928,"Iridium NEXT",86.45,0.0003793,14.4364,753.6,99.7,"LEO"
"IRIDIUM 176",43923,"Iridium NEXT",86.61,0.0002375,14.7225,661,97.8,"LEO"
"IRIDIUM 177",56727,"Iridium NEXT",86.2,0.0002535,14.8004,636.3,97.3,"LEO"
"IRIDIUM 178",56729,"Iridium NEXT",86.66,0.0002479,14.8005,636.3,97.3,"LEO"
"IRIDIUM 179",56730,"Iridium NEXT",86.68,0.0002488,14.8005,636.3,97.3,"LEO"
"IRIDIUM 180",43922,"Iridium NEXT",86.4,0.0002178,14.3422,784.8,100.4,"LEO"
"IRIDIUM 181",56726,"Iridium NEXT",86.45,0.0002016,14.4331,754.7,99.8,"LEO"
"ABS-4 (MOBISAT-1)",28184,"Komunikacyjne GEO",6.21,0.0005074,1.0027,35794.3,1436.1,"GEO"
"AMAZONAS 4A",39616,"Komunikacyjne GEO",0.08,0.0006273,1.0027,35793.6,1436.1,"GEO"
"AMOS-4",39237,"Komunikacyjne GEO",0.01,0.0001366,1.0027,35793.5,1436.1,"GEO"
"APSTAR-7",38107,"Komunikacyjne GEO",0.01,0.0003656,1.0027,35793.7,1436.1,"GEO"
"ASTRA 1L",31306,"Komunikacyjne GEO",1.49,0.0005161,1.0027,35793.6,1436.1,"GEO"
"ASTRA 2G",40364,"Komunikacyjne GEO",0.03,0.0002994,1.0028,35792.7,1436,"GEO"
"BEIDOU-2 G1",36287,"Komunikacyjne GEO",4.45,0.000151,1.0027,35794.2,1436.1,"GEO"
"DSN-3 (KIRAMEKI-3)",61733,"Komunikacyjne GEO",0.03,0.0001514,1.0027,35794.1,1436.1,"GEO"
"ECHOSTAR 19",41893,"Komunikacyjne GEO",0.02,0.000172,1.0027,35793.5,1436.1,"GEO"
"EUTELSAT 16A",37836,"Komunikacyjne GEO",0.05,0.000545,1.0027,35793.1,1436.1,"GEO"
"EUTELSAT 174A",28924,"Komunikacyjne GEO",4.39,0.0006103,1.0028,35792.7,1436,"GEO"
"EUTELSAT 5 WEST B",44624,"Komunikacyjne GEO",0.11,0.0003383,1.0027,35793.3,1436.1,"GEO"
"EUTELSAT 53A",40277,"Komunikacyjne GEO",0.03,0.0001881,1.0027,35794.2,1436.1,"GEO"
"EUTELSAT 8 WEST B",40875,"Komunikacyjne GEO",0.07,0.000353,1.0027,35793.6,1436.1,"GEO"
"EXPRESS-AM8",40895,"Komunikacyjne GEO",0.03,2.35e-05,1.0027,35793.3,1436.1,"GEO"
"FLTSATCOM 8 (USA 46)",20253,"Komunikacyjne GEO",12.4,0.0001516,1.0026,35796.5,1436.2,"GEO"
"GALAXY 18 (G-18)",32951,"Komunikacyjne GEO",0,0.0003205,1.0027,35793.4,1436.1,"GEO"
"GALAXY 36 (G-36)",54742,"Komunikacyjne GEO",0.03,0.0002427,1.0027,35793.8,1436.1,"GEO"
"GSAT-19",42747,"Komunikacyjne GEO",0.04,0.0004711,1.0027,35793.7,1436.1,"GEO"
"GSAT-31",44035,"Komunikacyjne GEO",0.06,0.0002909,1.0027,35793.8,1436.1,"GEO"
"GSAT-9",42695,"Komunikacyjne GEO",0.04,0.000261,1.0028,35792.6,1436,"GEO"
"HORIZONS-3E",43633,"Komunikacyjne GEO",0.02,6.99e-05,1.0027,35793.6,1436.1,"GEO"
"INMARSAT 3-F1",23839,"Komunikacyjne GEO",10.74,0.0006025,1,35871,1440,"GEO"
"INTELSAT 19 (IS-19)",38356,"Komunikacyjne GEO",0.02,0.0003227,1.0027,35794.8,1436.2,"GEO"
"INTELSAT 31 (IS-31)",41581,"Komunikacyjne GEO",0.04,0.000145,1.0027,35794,1436.1,"GEO"
