"stacja","miasto","kraj","lon","lat","temperatura","aod","ndvi_sredni"
"Goteborg-3","Goteborg","Szwecja",11.881,57.612,3.3,0.163,0.597
"Oslo-1","Oslo","Norwegia",10.584,59.999,1.8,0.119,0.52
"Oslo-2","Oslo","Norwegia",10.526,59.792,0.9,0.107,0.579
"Oslo-3","Oslo","Norwegia",10.777,59.878,2.1,0.164,0.517
"Kopenhaga-1","Kopenhaga","Dania",12.391,55.718,6.8,0.181,0.72
"Kopenhaga-2","Kopenhaga","Dania",12.399,55.748,5.7,0.148,0.684
"Kopenhaga-3","Kopenhaga","Dania",12.709,55.779,3.6,0.121,0.687
"Helsinki-1","Helsinki","Finlandia",24.912,60.154,2.4,0.156,0.65
"Helsinki-2","Helsinki","Finlandia",24.756,60.161,1.6,0.119,0.482
"Helsinki-3","Helsinki","Finlandia",24.973,60.025,1.8,0.182,0.587
"Tallinn-1","Tallinn","Estonia",24.887,59.331,3.5,0.049,0.624
"Tallinn-2","Tallinn","Estonia",24.711,59.517,3.1,0.108,0.651
"Tallinn-3","Tallinn","Estonia",24.53,59.476,3.5,0.167,0.572
"Ryga-1","Ryga","Lotwa",24.053,57.082,4.3,0.087,0.655
"Ryga-2","Ryga","Lotwa",24.091,57.032,2.7,0.036,0.65
"Ryga-3","Ryga","Lotwa",23.881,57.01,3.1,0.15,0.685
"Wilno-1","Wilno","Litwa",25.235,54.501,3.7,0.102,0.742
"Wilno-2","Wilno","Litwa",25.226,54.748,6,0.107,0.683
"Wilno-3","Wilno","Litwa",25.351,54.795,6.9,0.169,0.753
"Kijow-1","Kijow","Ukraina",30.288,50.475,5.6,0.254,0.785
"Kijow-2","Kijow","Ukraina",30.317,50.51,7.8,0.15,0.791
"Kijow-3","Kijow","Ukraina",30.708,50.571,8.3,0.195,0.85
"Lwow-1","Lwow","Ukraina",23.782,49.854,7.8,0.044,0.767
"Lwow-2","Lwow","Ukraina",23.859,49.68,7.1,0.156,0.719
"Lwow-3","Lwow","Ukraina",24.034,49.668,6.9,0.064,0.775
"Stambul-1","Stambul","Turcja",29.009,41.161,15,0.1,0.562
"Stambul-2","Stambul","Turcja",28.898,41.117,13.1,0.256,0.53
"Stambul-3","Stambul","Turcja",29.079,40.883,15,0.221,0.545
"Ankara-1","Ankara","Turcja",32.752,40.083,13.1,0.218,0.54
"Ankara-2","Ankara","Turcja",32.861,39.982,15.7,0.163,0.588
"Ankara-3","Ankara","Turcja",32.931,40.078,14.7,0.126,0.555
"Reykjavik-1","Reykjavik","Islandia",-21.734,64.262,-0.5,0.114,0.253
"Reykjavik-2","Reykjavik","Islandia",-22.153,64.208,1,0.037,0.297
"Reykjavik-3","Reykjavik","Islandia",-22.091,64.187,-1,0.214,0.215
"Trondheim-1","Trondheim","Norwegia",10.469,63.433,-0.5,0.1,0.341
"Trondheim-2","Trondheim","Norwegia",10.486,63.254,0,0.113,0.285
"Trondheim-3","Trondheim","Norwegia",10.178,63.404,-0.2,0.03,0.271
