"title","year","length","budget","rating","votes","mpaa","genre","n_genres"
"Bait",2000,119,35000000,5.6,1884,"R","Action",2
"Ballad of Cable Hogue, The",1970,121,3716946,7.2,712,,"Comedy",1
"Ballistic: Ecks vs. Sever",2002,91,70000000,3.4,4556,"R","Action",1
"Bananas",1971,82,2000000,7.1,4252,"PG-13","Comedy",1
"Band of the Hand",1986,109,8700000,4.9,378,,"Action",2
"Barbershop",2002,102,12000000,6.6,4943,"PG-13","Comedy",2
"Barbershop 2: Back in Business",2004,106,18000000,5.7,1580,"PG-13","Comedy",1
"Barcelona",1994,101,3200000,6.6,1570,,"Romance",3
"Barney's Great Adventure",1998,76,15000000,2.9,249,,"Other",0
"Barry Lyndon",1975,184,11000000,8,12285,,"Romance",2
"Basic",2003,98,50000000,6.2,8370,"R","Drama",1
"Basic Instinct",1992,128,49000000,6.7,19520,"R","Other",0
"Basil",1998,113,10000000,6.1,367,"R","Romance",2
"Basket Case 2",1990,90,2500000,3.9,310,,"Comedy",1
"Basket, The",1999,105,3000000,6.3,200,"PG","Drama",1
"Batman",1989,126,35000000,7.4,35927,,"Action",1
"Batman & Robin",1997,125,110000000,3.6,28457,"PG-13","Action",1
"Batman Returns",1992,126,80000000,6.5,23010,,"Action",2
"Batoru rowaiaru",2000,122,4500000,7.9,12138,,"Action",2
"Batoru rowaiaru II: Rekuiemu",2003,155,9000000,4.8,2117,,"Action",1
"Battle for the Planet of the Apes",1973,96,1800000,4.9,2335,,"Action",2
"Battle of Shaker Heights, The",2003,90,1000000,6,854,"PG-13","Romance",3
"Battlefield Earth: A Saga of the Year 3000",2000,119,73000000,2.4,14970,"PG-13","Action",1
"Be Cool",2005,118,53000000,5.5,4560,"PG-13","Comedy",1
"Beach, The",2000,119,50000000,5.8,15020,"R","Drama",1
"Bean",1997,90,22000000,5.4,9018,"PG-13","Comedy",1
"Bear, The",1984,110,221000,5.9,135,,"Comedy",2
"Beastmaster 2: Through the Portal of Time",1991,107,6000000,3.1,564,,"Action",1
"Beautiful",2000,112,9000000,5.3,991,"PG-13","Comedy",2
"Beautiful Country, The",2004,137,6000000,6.9,115,"R","Drama",1
"Beautiful Mind, A",2001,135,60000000,7.8,43291,"PG-13","Drama",1
"Because of Winn-Dixie",2005,106,14000000,5.9,483,"PG","Comedy",2
"Bedazzled",2000,93,48000000,5.9,11439,"PG-13","Comedy",1
"Bedknobs and Broomsticks",1971,139,20000000,6.5,2614,,"Animation",1
"Beetle Juice",1988,92,15000000,7.1,20966,,"Comedy",1
"Before Sunrise",1995,105,2500000,7.8,9618,,"Romance",2
"Before Sunset",2004,80,10000000,8.3,8789,"R","Romance",2
"Begotten",1991,78,33000,5.8,405,,"Other",0
"Behind Enemy Lines",2001,106,40000000,6.1,10856,"PG-13","Action",2
"Being John Malkovich",1999,113,13000000,7.9,55079,,"Comedy",2
"Being Julia",2004,104,18000000,7.2,1671,"R","Comedy",2
"Belly",1998,96,10000000,4.5,1034,"R","Drama",1
"Belly of the Beast",2003,91,18000000,4.2,638,"R","Action",1
"Beloved",1998,172,53000000,5.6,1934,"R","Drama",1
"Beneath the Planet of the Apes",1970,95,3000000,5.8,3568,,"Action",2
"Beneath the Valley of the Ultra-Vixens",1979,93,239000,5.2,402,,"Comedy",1
"Benji",1974,86,500000,5.7,679,,"Other",0
"Beowulf",1999,99,20000000,3.7,2058,"R","Action",1
"Best Laid Plans",1999,92,7000000,6.3,1795,"R","Drama",1
"Betrayal",2003,90,750000,4.7,157,,"Action",2
"Better Luck Tomorrow",2002,98,250000,7.3,2697,"R","Drama",1
"Better Place, A",1997,87,100000,5.8,447,,"Drama",1
"Beyond Rangoon",1995,100,23000000,6.4,1285,"R","Drama",1
"Beyond Re-Animator",2003,96,3000000,6.1,908,"R","Comedy",1
"Beyond the Mat",1999,108,500000,7.3,2243,"R","Documentary",1
"Beyond the Sea",2004,118,24000000,6.7,1051,"PG-13","Drama",1
"Beyond the Valley of the Dolls",1970,111,900000,5.4,1575,,"Comedy",2
"Bicentennial Man",1999,132,100000000,6.2,8925,"PG","Romance",2
"Big",1988,104,18000000,7.2,18660,,"Comedy",1
"Big Bounce, The",2004,88,50000000,4.7,2505,"PG-13","Comedy",1
"Big Bully",1996,90,15000000,4.2,781,"PG","Comedy",2
"Big Daddy",1999,93,34200000,5.9,18258,"PG-13","Comedy",1
"Big Doll House, The",1971,95,125000,4.6,194,,"Action",2
"Big Fat Liar",2002,88,15000000,5.5,2453,"PG","Comedy",1
"Big Fish",2003,125,70000000,8.1,31525,"PG-13","Comedy",2
"Big Lebowski, The",1998,117,15000000,8,50179,"R","Comedy",1
"Big Momma's House",2000,98,30000000,4.7,7509,"PG-13","Comedy",1
"Big Tease, The",1999,86,4000000,6.1,670,"R","Comedy",1
"Bill & Ted's Bogus Journey",1991,93,20000000,5.6,8152,,"Comedy",1
"Bill & Ted's Excellent Adventure",1989,90,10000000,6.6,12277,,"Comedy",1
"Billy Elliot",2000,110,5000000,7.7,16725,"R","Drama",1
"Billy Jack",1971,114,800000,5.5,994,,"Action",2
"Bingo",1991,89,10000000,4.1,374,,"Comedy",1
"Birth",2004,100,20000000,6,2600,"R","Romance",2
"Birthday Girl",2001,93,13000000,6.1,5340,"R","Romance",3
"Black Cauldron, The",1985,80,44000000,6.2,1895,,"Animation",1
"Black Hawk Down",2001,142,90000000,7.6,32530,"R","Action",2
"Black Hole, The",1979,98,18500000,5.4,3425,,"Other",0
"Black Knight",2001,95,50000000,4.1,3822,"PG-13","Comedy",1
"Black Stallion, The",1979,118,2700000,7,1822,,"Other",0
"Black and White",1999,98,10000000,5.2,1699,"R","Drama",1
"Blade",1998,110,45000000,6.8,24372,"R","Action",1
"Blade Runner",1982,117,28000000,8.2,74749,,"Action",2
"Blade: Trinity",2004,124,65000000,5.7,7439,"R","Action",1
"Blair Witch Project, The",1999,86,35000,6.1,39814,"R","Other",0
"Blast from the Past",1999,112,35000000,6.4,9483,"PG-13","Romance",3
"Blazing Saddles",1974,93,2600000,7.7,17166,,"Comedy",1
"Blood Work",2002,110,50000000,6.3,5965,"R","Drama",1
"Blood and Wine",1996,101,26000000,6,2134,"R","Drama",1
"Blood, Guts, Bullets and Octane",1998,87,7300,5.3,285,"R","Action",2
"Bloodline",1979,116,12000000,3.9,160,,"Other",0
"Blow",2001,124,30000000,7.1,18670,"R","Drama",1
"Blow Out",1981,108,18000000,7,3563,,"Other",0
"Blue Bird, The",1976,99,12000000,3.9,148,,"Other",0
"Blue Crush",2002,104,30000000,5.7,4791,"PG-13","Romance",2
"Blue Lagoon, The",1980,104,4500000,4.7,4324,,"Romance",2
"Blue Velvet",1986,120,6000000,7.7,18756,,"Drama",1
"Blues Brothers 2000",1998,123,28000000,4.5,5267,"PG-13","Comedy",1
"Blues Brothers, The",1980,148,27000000,7.7,28964,,"Action",2
"Body Double",1984,114,10000000,6.3,3543,,"Drama",1
"Body Parts",1991,88,10000000,4.6,604,,"Other",0
"Body of Evidence",1993,102,30000000,4.1,2625,,"Romance",1
"Bogus",1996,110,32000000,5,1007,"PG","Comedy",2
"Boiler Room",2000,118,9000000,6.8,8586,"R","Drama",1
"Bon voyage",2003,115,20000000,7.2,1061,"PG-13","Comedy",2
"Bone Collector, The",1999,118,48000000,6.2,17766,"R","Drama",1
"Bones",2001,96,16000000,4.2,1418,"R","Other",0
"Bonfire of the Vanities, The",1990,125,47000000,5,4151,,"Comedy",2
"Boogens, The",1982,95,600000,4.2,155,,"Other",0
"Boogeyman",2005,89,20000000,4.1,2055,"PG-13","Drama",1
"Book of Life, The",1998,63,350000,6.7,551,,"Comedy",1
"Book of Mormon Movie, Volume 1: The Journey, The",2003,120,2000000,3.4,142,"PG-13","Other",0
"Book of Shadows: Blair Witch 2",2000,90,15000000,4.2,6532,"R","Other",0
"Borrowers, The",1997,89,29000000,5.6,1457,"PG","Comedy",1
"Bossu, Le",1997,128,30000000,7.1,668,,"Drama",1
"Bounce",2000,106,35000000,5.8,5390,"PG-13","Romance",2
"Bound",1996,109,4500000,7.5,11911,"R","Romance",1
"Boys Next Door, The",1986,90,5000000,5.8,308,,"Drama",1
"Boys and Girls",2000,94,16000000,4.9,3483,"PG-13","Romance",3
"Boys from Brazil, The",1978,123,12000000,6.8,2826,,"Drama",1
"Boys in the Band, The",1970,118,5500000,7.3,448,,"Drama",1
"Boys on the Side",1995,115,21000000,6.1,2775,,"Comedy",2
"Brady Bunch Movie, The",1995,90,12000000,5.6,4636,"PG-13","Comedy",1
"Braindead",1992,97,3000000,7.5,11552,,"Romance",2
"Brat 2",2000,122,1500000,6.7,528,,"Action",1
"Braveheart",1995,177,53000000,8.3,92437,"R","Action",2
"Bravo Two Zero",1999,115,6500000,6.5,578,"R","Other",0
"Brazil",1985,94,15000000,8,30735,,"Comedy",1
"Bread, My Sweet, The",2001,105,600000,6.8,257,"PG-13","Romance",2
"Breakdown",1997,95,36000000,6.7,7099,"R","Action",1
"Breakfast of Champions",1999,110,12000000,4.2,2250,"R","Comedy",1
"Breed, The",2001,91,4000000,4.7,582,"R","Action",1
"Bride of the Wind",2001,99,12000000,5.2,201,"R","Drama",1
"Bridge of Dragons",1999,95,4000000,3.7,373,"R","Action",2
"Bridget Jones: The Edge of Reason",2004,108,70000000,5.7,6636,"R","Romance",3
"Brigham City",2001,119,1000000,7.1,405,"PG-13","Drama",1
"Bring It On",2000,98,10000000,6.1,11784,"PG-13","Comedy",1
"Bring Me the Head of Alfredo Garcia",1974,112,1500000,7.1,1163,,"Drama",1
"Bringing Down the House",2003,105,35000000,5.6,6501,"PG-13","Comedy",1
"Bringing Out the Dead",1999,121,32000000,6.7,13989,"R","Drama",1
"Broken Arrow",1996,108,65000000,5.7,14415,"R","Action",1
"Broken Hearts Club: A Romantic Comedy, The",2000,94,1000000,6.8,1712,,"Comedy",2
"Broken Vessels",1998,90,600000,6.1,223,"R","Drama",1
"Bronx Tale, A",1993,121,22000000,7.5,9175,,"Drama",1
"Brothers McMullen, The",1995,98,23800,6.4,2325,"R","Comedy",2
"Brown Bunny, The",2003,119,10000000,5.1,1045,,"Drama",1
"Brown Sugar",2002,109,8000000,5.9,941,"PG-13","Romance",3
"Bruce Almighty",2003,101,81000000,6.4,23905,"PG-13","Romance",2
"Brylcreem Boys, The",1998,106,6000000,6,199,"PG-13","Romance",2
"Bubba Ho-tep",2002,92,1000000,7.5,7142,"R","Comedy",1
"Budbringeren",1997,83,2100000,6.8,732,,"Comedy",1
"Buffalo '66",1998,110,1500000,7.2,6652,"R","Comedy",2
"Buffalo Soldiers",2001,98,15000000,7,3753,"R","Comedy",2
"Bug Buster",1998,93,8500000,2.9,268,"PG-13","Action",2
"Bug's Life, A",1998,96,45000000,7.4,23184,,"Animation",2
"Bull Durham",1988,108,7000000,7.1,8434,,"Romance",3
"Bulletproof",1988,93,5000000,3.8,155,,"Action",2
"Bulletproof Monk",2003,104,52000000,5.2,5405,"PG-13","Action",2
"Bulworth",1998,108,30000000,6.9,8277,,"Romance",3
"Bumer",2003,110,700000,6.5,264,,"Drama",1
"Burning, The",1981,89,1500000,4.7,546,,"Other",0
"Business of Fancydancing, The",2002,103,200000,7.3,195,,"Drama",1
"But I'm a Cheerleader",1999,85,1200000,6.2,3897,"R","Romance",3
"Butterfly Effect, The",2004,120,13000000,7.6,22975,"R","Drama",1
"C.H.U.D.",1984,96,1250000,4.3,834,,"Other",0
"CQ",2001,91,7000000,6.4,1315,"R","Comedy",2
"Cabaret",1972,124,6000000,7.8,7176,,"Drama",1
"Cabin Fever",2002,93,1500000,5.1,7776,"R","Other",0
"Caddyshack",1980,98,6000000,7.1,13453,,"Comedy",1
"Caged Heat",1974,83,180000,4.9,295,,"Action",2
"Cameron's Closet",1989,86,7000000,3.9,113,,"Other",0
"Camp Slaughter",2004,95,350000,2,180,,"Other",0
"Can't Be Heaven",2000,94,2000000,5.7,104,"PG","Romance",3
"Canadian Bacon",1995,91,11000000,5.5,3514,,"Comedy",1
"Cape Fear",1991,128,35000000,7.1,15585,"R","Drama",1
"Captain Corelli's Mandolin",2001,131,57000000,5.9,5281,"R","Romance",2
"Captain Kronos - Vampire Hunter",1974,91,400000,6.3,442,,"Other",0
"Carandiru",2003,147,6000000,7.7,1608,"R","Drama",1
"Carnosaur",1993,83,1000000,3.1,583,,"Other",0
"Carpool",1996,89,17000000,4.5,829,"PG","Comedy",1
"Carrie",1976,98,1800000,7.2,11778,,"Drama",1
"Casa dell'esorcismo, La",1973,95,1000000,5.5,277,,"Other",0
"Casino",1995,176,52000000,7.8,27234,"R","Drama",1
"Casshern",2004,141,5000000,6.5,1237,,"Action",2
"Cast Away",2000,143,90000000,7.3,34580,"PG-13","Drama",1
"Cat in the Hat, The",2003,82,109000000,3.2,4997,"PG","Comedy",1
"Catch Me If You Can",2002,141,52000000,7.6,39915,"PG-13","Drama",1
"Catwoman",2004,104,85000000,3.4,8815,"PG-13","Action",1
"Cell, The",2000,109,33000000,6.1,16118,"R","Other",0
"Cellular",2004,94,25000000,6.4,6182,"PG-13","Action",1
"Central do Brasil",1998,108,2900000,7.9,8980,,"Drama",1
"Chamber, The",1996,113,50000000,5.7,2540,"R","Drama",1
"Chance",2002,73,150000,8,440,,"Comedy",2
"Changing Habits",1997,95,1200000,5.5,134,"R","Comedy",2
"Changing Lanes",2002,99,45000000,6.6,12779,"R","Drama",1
"Chariots of Fire",1981,123,5500000,7.3,6666,,"Drama",1
"Charlie",2004,94,5000000,5,141,"R","Drama",1
"Charlie's Angels",2000,94,92000000,5.8,25705,"PG-13","Action",2
"Charlie's Angels: Full Throttle",2003,107,120000000,5,13990,"PG-13","Action",2
"Charlotte Sometimes",2002,85,80000,4.6,555,"R","Drama",1
"Chasing Amy",1997,111,250000,7.6,32141,"R","Romance",3
"Chasing Liberty",2004,111,23000000,5.7,1911,"PG-13","Romance",2
"Cheaper by the Dozen",2003,98,40000000,5.8,5977,"PG","Comedy",2
"Cheerleaders, The",1973,84,153000,5,177,,"Comedy",1
"Cheetah",1989,83,5000000,5.9,115,,"Other",0
"Cherry, Harry & Raquel!",1970,71,90000,4.6,189,,"Drama",1
"Chicago",2002,113,45000000,7.5,34933,"PG-13","Comedy",2
"Chicken Run",2000,84,42000000,7.4,25099,,"Animation",2
"Chiesa, La",1989,98,3500000,5.9,486,,"Drama",1
"Child's Play",1988,87,19000000,5.9,4250,,"Other",0
"Child's Play 2",1990,84,13000000,4.5,2327,,"Comedy",1
"Children Shouldn't Play with Dead Things",1972,87,70000,4.4,413,,"Other",0
"Children of the Corn II: The Final Sacrifice",1993,92,900000,3.2,937,,"Other",0
"Chill Factor",1999,101,34000000,5,2542,"R","Action",2
"Choirboys, The",1977,119,6500000,4.9,260,,"Drama",1
"Christine",1983,110,9700000,6,5666,,"Drama",1
"Christmas with the Kranks",2004,98,60000000,4.5,1520,"PG","Comedy",1
"Chronicles of Riddick, The",2004,135,110000000,6.2,11438,"PG-13","Action",1
"Chuck&Buck",2000,96,250000,6.6,1919,"R","Comedy",2
"Cidade de Deus",2002,135,3300000,8.7,25964,"R","Drama",1
"Cider House Rules, The",1999,126,24000000,7.5,18950,"PG-13","Romance",2
"Cinderella Story, A",2004,95,20000000,4.9,2755,"PG","Romance",2
"Citizen Ruth",1996,102,3000000,6.8,1441,,"Comedy",2
"City by the Sea",2002,108,60000000,6.3,4886,"R","Drama",1
"City of Ghosts",2002,116,17500000,5.6,877,"R","Other",0
"City on Fire",1979,104,5300000,3.4,127,,"Action",1
"Civil Action, A",1998,112,60000000,6.4,6847,"PG-13","Drama",1
"Claire of the Moon",1992,107,130000,4.1,208,,"Romance",2
"Class of 1984",1982,98,4300000,5.5,662,,"Action",2
"Class of 1999",1990,99,5200000,4.5,549,,"Action",1
"Clear and Present Danger",1994,141,65000000,6.8,13025,,"Action",2
"Clerks.",1994,92,230000,7.9,39927,"R","Comedy",2
"Clockers",1995,129,25000000,6.8,3099,"R","Drama",1
"Clockstoppers",2002,94,26000000,5.1,2555,"PG","Other",0
"Clockwork Orange, A",1971,137,2200000,8.3,65283,,"Drama",1
"Clonus Horror, The",1979,90,350000,2.1,469,,"Other",0
"Close Encounters of the Third Kind",1977,137,20000000,7.7,26304,,"Drama",1
"Club Dread",2004,119,9000000,5.2,3432,"R","Comedy",1
"Clue",1985,97,15000000,6.7,8767,,"Comedy",1
"Coach Carter",2005,136,30000000,6.6,1636,"PG-13","Drama",1
"Cockettes, The",2002,100,300000,6.6,177,"R","Documentary",1
"Code 46",2003,92,7500000,6.4,2094,"R","Romance",2
"Cold Heart",2001,95,3000000,4.1,140,"R","Other",0
"Cold Hearts",1999,90,900000,3.9,131,"R","Other",0
"Collateral Damage",2002,108,85000000,5.2,8590,"R","Action",1
"Color Purple, The",1985,154,15000000,7.6,10599,,"Drama",1
"Color of Night",1994,133,40000000,4.7,4646,,"Romance",2
"Coming to America",1988,116,28000000,6.6,13103,,"Romance",2
"Commandments",1997,88,5000000,5.4,468,"R","Romance",3
"Committed",2000,98,3000000,5.2,739,"R","Comedy",2
"Company Man",2000,86,16000000,4.8,492,"PG-13","Comedy",1
"Company, The",2003,112,15000000,6.2,1505,"PG-13","Drama",1
"Con Air",1997,115,75000000,6.3,26642,,"Action",1
"Conan the Barbarian",1982,129,20000000,6.5,13624,,"Action",1
"Confession, The",1999,114,4000000,5.8,519,"R","Drama",1
"Confessions of a Dangerous Mind",2002,113,29000000,7.1,11487,"R","Drama",1
"Confidence",2003,97,15000000,6.8,6168,"R","Drama",1
"Conquest of the Planet of the Apes",1972,88,1700000,5.5,2255,,"Action",1
"Conspiracy Theory",1997,135,75000000,6.4,15470,"R","Romance",2
"Constantine",2005,121,100000000,6.4,11633,,"Action",2
"Contact",1997,153,90000000,7.3,36390,"PG","Drama",1
"Contender, The",2000,126,9000000,6.9,7023,"R","Drama",1
"Conversation, The",1974,113,1600000,8.1,10260,,"Drama",1
"Cool as Ice",1991,100,6000000,2.4,1280,,"Romance",3
"Cop Land",1997,116,15000000,6.7,12677,"R","Drama",1
"Corky Romano",2001,86,11000000,4.6,2463,"PG-13","Comedy",1
"Coronado",2003,88,4700000,4.5,411,"PG-13","Action",2
"Coronel no tiene quien le escriba, El",1999,122,3000000,6.9,265,,"Drama",1
