"district","school","county","grades","students","teachers","calworks","lunch","computer","expenditure","income","english","read","math"
"66191","Santa Rita Union Elementary","Monterey","KK-08",2807,126.12,15.4595,52.3964,152,4353.0195,12.997,33.4877,637.3,627.6
"72561","Rio Elementary","Ventura","KK-08",3074,142.55,11.2898,66.1949,249,5034.29,11.592,38.1588,633.2,632.5
"72157","Strathmore Union Elementary","Tulare","KK-08",723,37.12,25.9211,83.1579,45,4692.4937,8.279,36.9295,629.2,636.7
"67397","North Sacramento Elementary","Sacramento","KK-06",5138,290.775,58.7522,84.999,560,5606.7817,10.9056,32.9895,630.3,635.8
"66423","Anaheim Elementary","Orange","KK-06",20927,953.5,10.9114,82.3926,1048,4969.1807,13.4006,58.2167,629.6,636.7
"63974","Lemoore Union Elementary","Kings","KK-08",3017,138.5,14.9768,56.0636,496,4675.6748,11.081,17.0036,634.4,632.9
"63875","Armona Union Elementary","Kings","KK-08",957,50,27.1682,82.1317,149,5306.1328,9.082,17.6594,634.7,633.1
"63339","Beardsley Elementary","Kern","KK-08",1639,90.5,46.8882,80.6042,287,5693.8833,13.39,7.3215,638.4,629.6
"65037","South Whittier Elementary","Los Angeles","KK-08",4340,209.84,17.7026,93.9227,284,5181.5796,14.6016,31.1982,631.9,636.2
"63917","Hanford Elementary","Kings","KK-08",5079,224.5,25.5593,63.8036,585,5228.6509,11.116,16.6174,637.7,630.5
"68221","National Elementary","San Diego","KK-06",6639,304.73,26.8414,100,505,5339.3911,8.423,58.081,631.5,636.7
"70904","Roseland Elementary","Sonoma","KK-06",1154,62.1,22.9277,84.9206,129,6056.4971,11.665,55.8925,636.8,631.5
"63420","Di Giorgio Elementary","Kern","KK-08",237,11,19.8312,76.7932,13,4845.6802,7.305,5.4852,631.8,636.6
"64642","Keppel Union Elementary","Los Angeles","KK-08",2987,141.21,21.2588,68.3964,273,4826.666,13.7306,14.4292,637.7,631.1
"63966","Lakeside Union Elementary","Kings","KK-08",499,30,40.367,83.1193,94,5367.0903,11.116,22.8457,635.5,633.6
"65771","Merced City Elementary","Merced","KK-08",11474,542.65,40.5526,77.0089,1248,5742.7329,10.3644,38.7833,633.2,636.2
"69203","Guadalupe Union Elementary","Santa Barbara","KK-08",1088,55,14.1544,86.0294,107,4136.251,6.983,64.2463,631.1,638.7
"67694","Cucamonga Elementary","San Bernardino","KK-08",2660,140.12,15.7601,74.851,259,5267.8311,14.4678,25.2256,637.8,632.1
"61705","Knightsen Elementary","Contra Costa","KK-08",353,19.98,8.6721,33.0623,8,5238.3921,14.653,5.3824,636.6,633.5
"63008","Rio Dell Elementary","Humboldt","KK-08",329,18.53,28.9157,85.5422,37,5462.8994,10.629,6.079,644.3,626.1
"70417","Montague Elementary","Siskiyou","KK-08",252,16.5,23.4568,66.2551,32,6313.3735,9.781,0,640.9,630
"70409","McCloud Union Elementary","Siskiyou","KK-08",175,12.5,21.7647,68.8235,31,6653.0308,10.656,0,634.6,636.6
"72587","Santa Paula Elementary","Ventura","KK-08",3835,186.2,13.9911,72.8628,897,5533.1494,11.938,34.8892,633,638.2
"62539","West Park Elementary","Fresno","KK-08",314,19.25,29.9363,93.6306,8,6118.7104,7.385,13.0573,636.7,634.8
"65631","Atwater Elementary","Merced","KK-08",4458,211,22.2222,72.3208,445,5098.627,10.676,36.0251,633.2,638.7
"65862","Weaver Union Elementary","Merced","KK-08",1313,75.08,32.0868,73.5976,112,5652.8789,9.972,34.6535,633.9,638.3
"62356","Pacific Union Elementary","Fresno","KK-08",474,26.5,21.519,75.7384,36,5329.0024,8.258,28.692,634.7,638.3
"75051","Lucerne Valley Unified","San Bernardino","KK-08",1114,57.7,29.4468,62.2128,277,5929.8091,8.896,1.7953,645.4,627.8
"67231","Romoland Elementary","Riverside","KK-06",1358,65,14.7903,80.8683,178,4897.0679,12.062,30.6333,632.3,641.1
"64501","El Monte City Elementary","Los Angeles","KK-08",11629,546.3,25.3794,83.8737,1015,5100.2021,9.4289,59.0335,632.4,641.4
"63503","Greenfield Union Elementary","Kern","KK-08",6195,306.75,21.0433,68.5719,1261,4825.7227,8.9203,13.5593,636.2,637.7
"72033","Palo Verde Union Elementary","Tulare","KK-08",499,20,23.6994,80.9249,35,4079.1292,10.098,5.01,636.1,637.9
"67322","Elverta Joint Elementary","Sacramento","KK-08",417,23,19.9041,46.0432,27,5349.3677,11.83,0.9592,638,636.2
"64048","Lucerne Elementary","Lake","KK-08",300,15,48.3444,72.1854,55,5869.3892,11.553,0.6667,640.9,633.8
"69542","Luther Burbank Elementary","Santa Clara","KK-08",457,24.4,16.8161,67.713,50,6462.1279,19.707,38.512,644.9,630.4
"61382","Bangor Union Elementary","Butte","KK-08",146,8,25.3425,54.1096,34,6231.6016,7.105,0,646.1,629.8
"68858","Bayshore Elementary","San Mateo","KK-08",460,24.22,10.5932,66.9492,71,4993.8677,13.725,17.1739,633.2,642.7
"72017","Oak Valley Union Elementary","Tulare","KK-08",354,17.8,10.2778,59.7222,28,4663.811,10.098,9.887,636.7,639.3
"65151","Wilsona Elementary","Los Angeles","KK-08",1841,95,25.258,64.7474,315,6107.1064,13.762,19.3916,640.4,636
"63073","Brawley Elementary","Imperial","KK-08",3760,183.75,26.9016,65.7961,717,5324.228,9.665,36.4894,636.2,640.4
"63198","Meadows Union Elementary","Imperial","KK-08",500,22.43,18.8,83,70,5221.4609,10.264,39.4,630.4,646.2
"64717","Little Lake City Elementary","Los Angeles","KK-08",5112,246.9,10.6912,59.7235,383,5157.7847,11.5692,28.6776,638.6,638.1
"63719","Pond Union Elementary","Kern","KK-08",146,7.66,13.6986,66.4384,28,5131.1191,7.405,13.6986,637.5,639.6
"63800","Taft City Elementary","Kern","KK-08",2141,105.82,26.4965,65.3828,134,5279.354,12.077,11.3498,636.9,640.5
"71357","Brittan Elementary","Sutter","KK-08",610,30.98,8.5246,56.0656,144,4704.0439,11.283,3.4426,640.3,638.2
"65557","Arena Union Elementary","Mendocino","KK-08",337,16.55,21.2625,60.1329,26,6089.9106,10.035,15.4303,642.7,635.9
"67587","Adelanto Elementary","San Bernardino","KK-08",4501,227.85,19.1297,63.9055,597,5356.8335,8.384,17.9738,639.9,638.8
"67470","Hollister School District","San Benito","KK-08",5718,295.05,6.8407,37.0456,313,5144.5493,13.63,22.7177,641.4,637.6
"64857","Palmdale Elementary","Los Angeles","KK-08",19402,846.38,20.5237,51.2421,1182,4906.23,14.1277,18.4362,641.7,637.8
"61507","Oroville City Elementary","Butte","KK-08",3401,175.55,52.2199,74.2723,560,5489.5889,11.2661,16.1717,641.5,638.1
"63792","Standard Elementary","Kern","KK-08",2621,136.83,25.8298,64.0977,397,5718.5513,13.39,2.0221,641.4,638.3
"72447","Briggs Elementary","Ventura","KK-08",426,20,3.9906,64.7887,87,4436.1528,11.938,9.6244,634.3,645.5
"62323","Monroe Elementary","Fresno","KK-08",205,11.2,18.5366,80.9756,24,4895.4395,8.258,41.4634,643.5,636.7
"64667","Lancaster Elementary","Los Angeles","KK-08",13668,648.41,28.1753,56.2994,1321,5159.2188,14.2267,9.899,640.4,639.9
"65177","Alview-Dairyland Union Elementary","Madera","KK-08",342,18.2,11.396,68.0912,98,5490.6548,10.472,16.0819,637.7,643.3
"66589","Magnolia Elementary","Orange","KK-06",6518,332.1,12.2791,71.0238,499,5172.0195,14.2429,43.4949,638.5,643
"71985","Liberty Elementary","Tulare","KK-08",239,12.2,15.6118,69.6203,30,4441.6729,14.066,8.7866,644.9,636.9
"69617","Mt. Pleasant Elementary","Santa Clara","KK-08",2911,139.47,11.9285,52.9735,281,5220.3701,15.968,39.0244,640.4,641.8
"63123","El Centro Elementary","Imperial","KK-08",6272,297.04,28.72,71.7624,1338,5252.8105,10.264,53.8903,639.3,643.6
"68395","South Bay Union Elementary","San Diego","KK-06",10218,508.75,17.4202,70.8064,1435,5518.7021,10.6025,41.1333,638.6,644.3
"69914","Cascade Union Elementary","Shasta","KK-08",1735,87.14,47.2622,75.5043,222,5609.4878,10.523,1.3833,640.8,642.3
"71969","Kings River Union Elementary","Tulare","KK-08",474,26.61,20.6751,82.0675,96,4945.0317,11.238,35.443,638.9,644.7
"71548","Gerber Union Elementary","Tehama","KK-08",544,30,20.5505,74.8624,145,5223.0254,10.056,8.6397,641.8,642.6
"71910","Exeter Union Elementary","Tulare","KK-08",1987,103.37,15.2812,54.6541,283,4757.0254,11.183,15.3498,637,647.4
"62000","American Union Elementary","Fresno","KK-08",418,22.4,10.6965,63.4328,50,5522.1616,7.385,19.8565,640.2,644.6
"66167","San Antonio Union Elementary","Monterey","KK-08",196,10,19.6891,47.1503,40,6087.6089,13.579,3.0612,652.6,632.9
"71837","Burton Elementary","Tulare","KK-08",2208,114.5,14.414,53.2106,92,4960.5156,9.63,9.8732,642,644.1
"67157","Nuview Union Elementary","Riverside","KK-08",1255,55,11.3222,44.2597,165,4880.0405,15.274,16.0956,642.6,643.8
"70615","Bellevue Union Elementary","Sonoma","KK-06",1469,78.1,20.9666,80.2587,65,6538.418,14.0343,43.499,639.4,647.1
"64550","Garvey Elementary","Los Angeles","KK-08",7114,332.84,34.5942,82.5722,680,4925.6597,10.2397,45.038,638.9,647.9
"71498","Corning Union Elementary","Tehama","KK-08",1962,98,24.4151,67.7518,170,5204.6875,9.485,18.1957,641.7,645.1
"68916","Jefferson Elementary","San Mateo","KK-08",7761,361,6.4912,44.4766,658,4907.4106,15.0299,15.4877,644.2,642.8
"70185","Big Springs Union Elementary","Siskiyou","KK-08",216,14,9.417,48.8789,47,5923.4517,9.781,0.9259,652.7,634.3
"63487","General Shafter Elementary","Kern","KK-08",224,10,7.1429,58.0357,31,4741.957,13.192,7.5893,633.6,653.8
"71308","Turlock Joint Elementary","Stanislaus","KK-08",7887,391.86,16.4024,57.0722,1004,4954.0195,12.216,29.0858,645.7,641.7
"72421","Twain Harte-Long Barn Union Elementary","Tuolumne","KK-08",752,39.5,11.7105,34.0789,0,5500.1079,14.076,0.133,652.3,636.1
"69005","Redwood City Elementary","San Mateo","KK-08",9328,537.88,7.4875,39.0368,1719,5360.5171,25.4873,50.8576,644.5,643.9
"61846","Camino Union Elementary","El Dorado","KK-08",548,32.2,7.6642,31.3869,35,5685.6392,14.867,11.4964,652.1,636.7
"65813","Plainsburg Union Elementary","Merced","KK-08",104,5,32.381,49.5238,19,5594.1963,9.972,13.4615,649.5,639.4
"68486","Banta Elementary","San Joaquin","KK-08",275,13,12.7273,45.8182,4,4692.5669,14.578,4.7273,643.2,645.7
"62513","Washington Colony Elementary","Fresno","KK-08",443,24,14.2212,69.9774,52,5085.4062,7.385,21.4447,644.3,644.7
"67405","Rio Linda Union Elementary","Sacramento","KK-06",10337,540.05,37.2269,58.5454,1268,5456.1973,12.343,12.3537,646,643.1
"71050","Chatom Union Elementary","Stanislaus","KK-08",806,41.53,7.1788,56.6751,36,5105.1797,12.4313,30.1489,645.3,644.1
"73726","Merced River Union Elementary","Merced","KK-08",227,11.6,18.0617,59.0308,25,5519.6772,14.906,15.859,649.7,640.2
"72462","Hueneme Elementary","Ventura","KK-08",8416,391.42,12.399,71.9121,1333,5065.9111,12.6699,43.75,642.9,647.3
"62737","Cuddeback Union Elementary","Humboldt","KK-08",149,8.5,19.4631,59.0604,30,5182.4282,10.333,0,656.8,633.7
"62703","Blue Lake Union Elementary","Humboldt","KK-08",220,13.39,19.1304,52.1739,48,5960.4644,11.972,0,658,633.1
"68205","Lemon Grove Elementary","San Diego","KK-08",4612,232.97,17.4761,65.915,601,5124.8364,12.827,16.6522,647.7,643.4
"64063","Upper Lake Union Elementary","Lake","KK-08",590,34.33,37.4368,70.6577,71,5655.1333,10.04,3.2203,644.8,646.4
"62984","Peninsula Union Elementary","Humboldt","KK-08",133,7.55,25,72.1429,25,5811.6899,13.335,0,644.3,647.2
"72512","Ocean View Elementary","Ventura","KK-08",2440,121.24,7.2759,47.0299,116,5467.6738,9.854,48.5246,645.5,646
"71647","Reeds Creek Elementary","Tehama","KK-08",133,6,11.194,35.8209,0,5213.0894,11.426,0.7519,652.5,639.5
"67280","Arcohe Union Elementary","Sacramento","KK-08",519,26,16.763,37.9576,65,4613.1875,15.131,1.9268,650.9,641.5
"68627","New Jerusalem Elementary","San Joaquin","KK-08",222,11.66,7.5893,40.625,30,4886.9839,14.578,13.5135,643,649.7
"70243","Dunsmuir Elementary","Siskiyou","KK-08",285,18.72,26.6423,76.2774,36,6455.1367,10.268,0,641.6,651.2
"71282","Stanislaus Union Elementary","Stanislaus","KK-08",3129,147.98,26.1676,55.7901,471,5125.4331,15.5929,16.7146,647.8,645.2
"62240","Kingsburg Joint Union Elementary","Fresno","KK-08",2019,102.78,10.2526,40.5646,167,5193.6924,11.238,5.9435,649.1,644
"66456","Buena Park Elementary","Orange","KK-08",5620,267,10.3095,55.0939,316,5002.8389,15.0514,36.1744,644,649.4
"66746","Westminster Elementary","Orange","KK-08",9775,484.5,13.043,62.5039,1218,5337.6255,15.4132,44.9719,645.6,648.2
"63933","Island Union Elementary","Kings","KK-08",246,11.5,9.7561,43.9024,38,5161.2021,11.081,16.6667,647.8,646.1
"72231","Tulare City Elementary","Tulare","KK-08",7210,360.35,26.6268,68.8579,800,5158.792,10.098,15.1872,642.5,651.6
"68023","Chula Vista Elementary","San Diego","KK-06",21338,1051.58,13.2272,45.995,2889,5123.4741,14.2983,34.3378,645,649.5
"69880","Black Butte Union Elementary","Shasta","KK-08",477,27,25.3669,59.5388,27,5782.5439,11.803,0,650.8,643.8
"65763","McSwain Union Elementary","Merced","KK-08",727,39.9,10.1788,32.1871,50,4842.6079,9.972,13.0674,649.4,645.8
"71381","Franklin Elementary","Sutter","KK-08",374,18.45,6.6845,7.4866,46,4219.4062,15.409,4.2781,651.6,643.6
"68098","Escondido Union Elementary","San Diego","KK-08",18255,903.76,11.2217,58.5331,2001,5081.1699,15.2938,39.5946,645,651
"64485","East Whittier City Elementary","Los Angeles","KK-08",8787,410.91,10.0227,32.483,1058,5144.9937,15.5329,21.6684,648,648.4
"73544","Rio Bravo-Greeley Union Elementary","Kern","KK-08",797,38,7.0263,35.7591,60,4674.2988,16.293,3.2622,648.8,647.7
"71407","Marcum-Illinois Union Elementary","Sutter","KK-08",140,7,3.5714,39.2857,40,4830.3262,12.875,7.8571,651.6,645.1
"68437","Vallecitos Elementary","San Diego","KK-08",235,13.7,6.8085,67.234,51,5621.688,16.623,39.5745,643.4,654
"67918","Victor Elementary","San Bernardino","KK-06",8294,371.1,23.1975,51.5674,1295,4948.8682,12.5499,10.1278,645.1,652.8
"66696","Savanna Elementary","Orange","KK-06",2409,108.66,8.1515,52.1202,354,5100.9756,14.2586,27.5218,646,652.3
"71001","West Side Union Elementary","Sonoma","KK-06",150,8.25,3.2258,23.2258,16,5132.7886,18.326,14,655.2,643.4
"69971","Enterprise Elementary","Shasta","KK-08",3981,210,41.7734,51.7709,606,5358.5171,12.7491,8.842,649.8,649.2
"71621","Red Bluff Union Elementary","Tehama","KK-08",2326,117.8,17.9751,52.2523,345,5149.1865,11.426,6.4058,651.3,648.1
"72363","Jamestown Elementary","Tuolumne","KK-08",501,30.5,20.6349,54.7619,163,5373.2065,8.83,2.3952,652.6,647.1
"70482","Weed Union Elementary","Siskiyou","KK-08",470,28.27,31.3305,89.6996,48,6485.166,11.176,5.9574,655.1,645.8
"63032","South Bay Union Elementary","Humboldt","KK-06",575,35.1,26.4348,59.1304,59,5504.0254,14.228,8.1739,654.6,646.5
"61655","Brentwood Union Elementary","Contra Costa","KK-08",3519,175.3,5.5413,29.7812,789,5105.7344,15.027,15.4589,655.4,645.8
"72405","Summerville Elementary","Tuolumne","KK-08",474,26.34,21.9959,54.9898,61,5634.731,10.521,0,653.6,647.7
"66860","Ophir Elementary","Placer","KK-08",223,11.5,1.7544,17.5439,60,4980.2944,18.626,0,651.8,650
"70821","Montgomery Elementary","Sonoma","KK-08",92,5.6,13.5417,0,22,6113.8599,22.529,0,656.1,645.7
"70912","Santa Rosa Elementary","Sonoma","KK-06",4971,297.14,14.7094,55.1008,500,5850,18.2984,31.8246,653.3,649
"71266","Salida Union Elementary","Stanislaus","KK-08",2617,107.195,8.3682,32.3697,226,4547.9448,11.8857,12.8009,651.7,650.7
"70128","Shasta Union Elementary","Shasta","KK-08",242,13.25,28.0992,51.6529,32,5011.8403,9.926,0,654.4,648.3
"62802","Fortuna Union Elementary","Humboldt","KK-08",780,41.15,16.5394,50.7634,75,5261.3706,14.197,3.8462,662,640.8
"72090","Rockford  Elementary","Tulare","KK-08",324,15.4,13.0031,58.2043,50,4276.1152,9.63,2.4691,647,655.9
"62638","Plaza Elementary","Glenn","KK-08",140,6.75,7.8571,45.7143,25,4566.27,10.639,10.7143,654.2,649.4
"70813","Monte Rio Union Elementary","Sonoma","KK-08",181,10,25.4144,66.8508,26,6049.4951,14.475,0,651.9,651.8
"64105","Janesville Union Elementary","Lassen","KK-08",516,26,9.2593,24.8148,65,4974.2812,13.467,1.938,656.3,647.5
"63172","Magnolia Union Elementary","Imperial","KK-08",108,5,3.6697,32.1101,25,4432.478,9.665,4.6296,648.2,655.8
"64188","Shaffer Union Elementary","Lassen","KK-08",419,18.67,13.9535,50,58,4924.6191,12.708,5.2506,656.4,647.8
"66506","Fullerton Elementary","Orange","KK-08",12567,546.05,7.6231,40.3995,1099,4603.6597,17.823,27.5404,651.6,652.6
"70649","Cinnabar Elementary","Sonoma","KK-06",287,16.17,3.7931,31.0345,65,5973.9253,17.156,14.9826,655.1,649.5
"69278","Santa Barbara Elementary","Santa Barbara","KK-08",6201,339.1,7.1796,47.7025,634,5215.9438,19.5896,47.8794,650.9,653.7
"63016","Rohnerville Elementary","Humboldt","KK-08",577,29.95,20.3361,46.0504,134,4882.2368,14.197,0,657.2,647.5
"71431","Pleasant Grove Joint Union Elementary","Sutter","KK-08",170,7.5,10.5882,32.3529,41,4145.8359,11.912,1.7647,660.3,644.5
"73700","Mountain Union Elementary","Shasta","KK-08",164,8.5,33.5366,65.8537,36,7542.0381,13.386,0,655.2,649.6
"63784","South Fork Union Elementary","Kern","KK-08",382,22,29.2383,59.2138,75,5247.0181,11.554,0,653.1,651.9
"68155","Jamul-Dulzura Union Elementary","San Diego","KK-08",1221,61.6,4.3407,25.3071,250,5169.8149,19.026,7.2891,656.8,648.9
"69765","Live Oak Elementary","Santa Cruz","KK-08",2214,108.35,12.8726,36.4499,213,5951.0059,16.407,17.028,656.1,650.1
"67116","Menifee Union Elementary","Riverside","KK-08",4523,215,5.7519,29.1987,409,4746.5723,14.058,10.4356,653.7,653.1
"63552","Lakeside Union Elementary","Kern","KK-08",793,39.8,4.4136,30.7692,49,4944.0923,19.068,2.2699,652.4,654.6
"69724","Whisman Elementary","Santa Clara","KK-08",1678,88.27,5.4827,38.2002,254,6306.4873,20.77,28.2479,655.6,651.5
"63180","McCabe Union Elementary","Imperial","KK-08",536,22.5,5.597,28.1716,35,4260.3066,10.264,8.7687,653.4,653.7
"68551","Lammersville Elementary","San Joaquin","KK-08",307,15.85,5.5375,28.6645,36,4718.1631,14.578,7.4919,654.1,653.3
"71563","Lassen View Union Elementary","Tehama","KK-08",347,17.5,18.4438,53.6023,56,4751.2998,10.202,9.7983,655.5,652.1
"62927","Loleta Union Elementary","Humboldt","KK-08",168,11.01,29.1667,63.6905,30,5653.4536,12.502,12.5,655.9,651.8
"70045","Junction Elementary","Shasta","KK-08",532,31,10.5066,29.6435,81,5920.2534,13.906,0,656.6,651.3
"64931","Rosemead Elementary","Los Angeles","KK-08",3272,150,24.022,76.7726,374,4825.5908,9.986,31.2042,651.4,656.8
"66332","Grass Valley Elementary","Nevada","KK-08",2045,107.21,12.1271,40.9291,268,5532.582,13.712,1.3692,657.8,650.6
"71829","Buena Vista Elementary","Tulare","KK-08",156,6.05,10.4294,47.8528,7,3926.0696,10.098,9.6154,659.8,648.6
"63545","Kernville Union Elementary","Kern","KK-08",1129,61.99,34.1895,62.2675,164,5805.6367,11.291,0,655.1,653.5
"67348","Galt Joint Union Elementary","Sacramento","KK-08",3669,201.97,11.3589,41.0546,500,4899.2397,13.225,24.2573,652.7,656.5
