"opoznienie_min","pora_dnia","dzien_tygodnia","pogoda","nr_linii","dlugosc_trasy_km"
1.5,"2_popoludnie","2_wt","slonecznie",175,23.1
7.7,"2_popoludnie","7_nd","snieg",144,20.8
4.1,"2_popoludnie","3_sr","slonecznie",144,18.1
0,"2_popoludnie","7_nd","slonecznie",182,7.6
0,"2_popoludnie","6_sob","deszcz",182,7.7
11.1,"2_popoludnie","5_pt","slonecznie",175,10.1
0,"2_popoludnie","3_sr","deszcz",175,9.1
11.2,"2_popoludnie","6_sob","deszcz",175,11.8
10.8,"2_popoludnie","4_czw","slonecznie",501,15
4.5,"2_popoludnie","1_pon","slonecznie",144,15.3
10.8,"2_popoludnie","6_sob","slonecznie",501,21
1.5,"2_popoludnie","5_pt","slonecznie",501,23.7
6.7,"2_popoludnie","5_pt","slonecznie",501,24.2
15.7,"2_popoludnie","4_czw","snieg",144,16.8
9.4,"2_popoludnie","2_wt","deszcz",182,22.4
7.9,"2_popoludnie","2_wt","slonecznie",175,6.7
4.6,"2_popoludnie","4_czw","slonecznie",501,14.6
11.8,"2_popoludnie","4_czw","snieg",144,7.9
5.6,"2_popoludnie","4_czw","slonecznie",175,5.9
4.6,"2_popoludnie","4_czw","deszcz",144,10.7
6.2,"2_popoludnie","5_pt","slonecznie",175,5.6
5.6,"2_popoludnie","7_nd","slonecznie",175,14.8
3.5,"2_popoludnie","3_sr","deszcz",144,8.5
5.9,"2_popoludnie","1_pon","slonecznie",175,14.3
3.3,"2_popoludnie","5_pt","snieg",144,13.4
6.5,"2_popoludnie","4_czw","slonecznie",144,17.8
4.2,"2_popoludnie","6_sob","slonecznie",144,10.7
7.5,"2_popoludnie","3_sr","snieg",501,14.8
9.6,"2_popoludnie","2_wt","snieg",175,9
0,"2_popoludnie","3_sr","deszcz",175,23
9.4,"2_popoludnie","3_sr","deszcz",182,9.6
2.8,"2_popoludnie","1_pon","deszcz",501,12.6
1.2,"2_popoludnie","6_sob","deszcz",501,13.5
1.2,"2_popoludnie","4_czw","slonecznie",144,14.1
0,"2_popoludnie","1_pon","deszcz",501,13.5
11.1,"2_popoludnie","6_sob","snieg",501,14.6
7.8,"2_popoludnie","4_czw","deszcz",144,6.6
9.2,"2_popoludnie","6_sob","deszcz",144,19.5
5.5,"2_popoludnie","4_czw","slonecznie",175,20.8
4.5,"2_popoludnie","3_sr","deszcz",175,18
12.5,"2_popoludnie","5_pt","slonecznie",182,7.1
7.6,"2_popoludnie","5_pt","snieg",182,14.5
0.8,"2_popoludnie","3_sr","slonecznie",501,7.2
2.9,"2_popoludnie","1_pon","slonecznie",501,23
11.2,"2_popoludnie","6_sob","snieg",144,20.8
8.4,"2_popoludnie","4_czw","deszcz",501,15.7
0,"2_popoludnie","1_pon","slonecznie",182,23.9
15.4,"2_popoludnie","1_pon","deszcz",182,13.8
10.6,"2_popoludnie","3_sr","deszcz",144,24.6
8,"2_popoludnie","2_wt","slonecznie",501,11.4
8.6,"2_popoludnie","1_pon","deszcz",501,16.5
9.5,"2_popoludnie","5_pt","slonecznie",501,8.3
2.6,"2_popoludnie","5_pt","slonecznie",144,13.2
15.5,"2_popoludnie","3_sr","slonecznie",144,5.7
1.9,"2_popoludnie","5_pt","slonecznie",182,6.3
8.5,"2_popoludnie","5_pt","deszcz",175,24.6
7.8,"2_popoludnie","4_czw","slonecznie",501,16.7
13,"2_popoludnie","1_pon","slonecznie",501,14.5
3.8,"2_popoludnie","4_czw","slonecznie",144,7.7
5.7,"2_popoludnie","4_czw","slonecznie",501,5.2
2.3,"2_popoludnie","1_pon","slonecznie",182,12.7
0,"2_popoludnie","4_czw","slonecznie",144,15.3
0,"2_popoludnie","5_pt","deszcz",182,13.8
17.4,"2_popoludnie","1_pon","slonecznie",144,14
11.4,"2_popoludnie","3_sr","slonecznie",182,16.8
4.9,"2_popoludnie","1_pon","deszcz",175,6.7
10.8,"2_popoludnie","3_sr","deszcz",501,6.9
6,"2_popoludnie","7_nd","slonecznie",182,20.2
6.2,"2_popoludnie","3_sr","snieg",144,20.8
5.6,"2_popoludnie","2_wt","slonecznie",144,10.6
3.3,"2_popoludnie","3_sr","deszcz",501,14
9.2,"2_popoludnie","4_czw","slonecznie",182,24.8
0,"2_popoludnie","2_wt","slonecznie",144,24.4
5,"2_popoludnie","3_sr","snieg",182,24
6.5,"2_popoludnie","5_pt","slonecznie",501,22.5
9.5,"2_popoludnie","1_pon","slonecznie",144,20.7
10.4,"2_popoludnie","5_pt","slonecznie",175,22.8
0.4,"2_popoludnie","2_wt","slonecznie",501,21.2
5.1,"2_popoludnie","3_sr","slonecznie",182,23.9
1.9,"2_popoludnie","3_sr","slonecznie",144,9.3
9.8,"2_popoludnie","1_pon","slonecznie",182,20.8
0,"2_popoludnie","1_pon","slonecznie",175,20
2.2,"2_popoludnie","2_wt","slonecznie",501,20.4
12.8,"2_popoludnie","1_pon","deszcz",144,24.7
0,"2_popoludnie","4_czw","slonecznie",144,14.1
6.6,"2_popoludnie","3_sr","slonecznie",175,21.8
4.7,"2_popoludnie","4_czw","slonecznie",175,9.7
0,"2_popoludnie","6_sob","slonecznie",501,14.8
0,"2_popoludnie","1_pon","slonecznie",144,9.1
3.3,"2_popoludnie","3_sr","deszcz",182,17.1
15.3,"2_popoludnie","5_pt","snieg",144,9.1
6.1,"2_popoludnie","4_czw","slonecznie",144,22.8
0.7,"2_popoludnie","5_pt","deszcz",144,8.7
8.7,"2_popoludnie","1_pon","slonecznie",501,9.7
9.2,"2_popoludnie","3_sr","deszcz",501,9.9
9.3,"2_popoludnie","3_sr","snieg",501,23
3,"2_popoludnie","2_wt","slonecznie",175,5.6
12.4,"2_popoludnie","1_pon","slonecznie",501,13.6
0.5,"2_popoludnie","4_czw","slonecznie",144,21
7.1,"2_popoludnie","4_czw","snieg",182,9.7
5.5,"2_popoludnie","4_czw","slonecznie",144,22.2
3.6,"2_popoludnie","1_pon","snieg",182,21.1
0.1,"2_popoludnie","2_wt","slonecznie",182,18.8
4.3,"2_popoludnie","2_wt","slonecznie",144,24.6
12.4,"2_popoludnie","5_pt","deszcz",144,21
0,"2_popoludnie","3_sr","slonecznie",182,21.7
1.8,"2_popoludnie","1_pon","deszcz",501,14.1
9.7,"2_popoludnie","4_czw","deszcz",182,15.4
9.8,"2_popoludnie","3_sr","slonecznie",175,7.8
0,"2_popoludnie","5_pt","slonecznie",144,11.3
7.4,"2_popoludnie","4_czw","slonecznie",175,22.7
7.9,"2_popoludnie","2_wt","deszcz",175,18.1
0,"2_popoludnie","5_pt","slonecznie",182,15
8.8,"2_popoludnie","5_pt","deszcz",182,17.6
10.8,"2_popoludnie","1_pon","slonecznie",144,21.8
0.9,"2_popoludnie","4_czw","deszcz",182,12
2.7,"2_popoludnie","3_sr","deszcz",144,20.3
14,"2_popoludnie","3_sr","slonecznie",175,20
11.9,"2_popoludnie","5_pt","deszcz",501,20.9
8,"2_popoludnie","2_wt","slonecznie",501,11.7
5.6,"2_popoludnie","5_pt","deszcz",144,9.2
2.4,"2_popoludnie","1_pon","slonecznie",501,16.7
8.2,"2_popoludnie","2_wt","slonecznie",182,9.3
4.8,"2_popoludnie","2_wt","slonecznie",175,11.1
7.7,"2_popoludnie","3_sr","snieg",501,8.7
7.3,"2_popoludnie","1_pon","slonecznie",175,15.1
12.7,"2_popoludnie","2_wt","snieg",175,23.9
0,"2_popoludnie","5_pt","slonecznie",501,12.3
0,"2_popoludnie","4_czw","deszcz",144,9.4
2.5,"2_popoludnie","5_pt","slonecznie",182,20.6
8.6,"2_popoludnie","6_sob","deszcz",182,21.7
3.6,"2_popoludnie","7_nd","snieg",144,12.9
14.5,"2_popoludnie","4_czw","deszcz",144,23.9
6.3,"2_popoludnie","1_pon","slonecznie",182,17.4
0,"2_popoludnie","3_sr","slonecznie",182,5.2
6.2,"2_popoludnie","5_pt","slonecznie",501,10.1
6.9,"2_popoludnie","3_sr","deszcz",144,10.2
0.9,"2_popoludnie","1_pon","deszcz",501,13.8
6.9,"2_popoludnie","2_wt","slonecznie",501,14
14.8,"2_popoludnie","4_czw","slonecznie",501,14
5.8,"2_popoludnie","4_czw","deszcz",144,15.4
2.6,"2_popoludnie","3_sr","slonecznie",182,14
5.1,"2_popoludnie","1_pon","slonecznie",501,6.4
6.4,"2_popoludnie","3_sr","slonecznie",182,6.3
7.1,"2_popoludnie","3_sr","slonecznie",501,14.9
1,"2_popoludnie","6_sob","slonecznie",182,19.8
1.6,"2_popoludnie","4_czw","slonecznie",175,19.4
8.5,"2_popoludnie","1_pon","slonecznie",182,21.4
5.4,"3_wieczor","6_sob","snieg",175,21.9
1,"3_wieczor","4_czw","slonecznie",144,9.3
0,"3_wieczor","5_pt","slonecznie",175,23.3
2.8,"3_wieczor","2_wt","slonecznie",182,17.9
0.8,"3_wieczor","4_czw","slonecznie",182,7.2
0,"3_wieczor","4_czw","slonecznie",144,12
1.3,"3_wieczor","1_pon","slonecznie",144,12.4
1.3,"3_wieczor","2_wt","slonecznie",144,13.2
8.1,"3_wieczor","1_pon","deszcz",182,9.9
0,"3_wieczor","4_czw","slonecznie",182,5.3
3.8,"3_wieczor","2_wt","slonecznie",144,5
0,"3_wieczor","5_pt","slonecznie",501,13.4
0.5,"3_wieczor","2_wt","slonecznie",501,11.9
0,"3_wieczor","5_pt","slonecznie",501,15.5
0.1,"3_wieczor","5_pt","slonecznie",175,17.6
2.9,"3_wieczor","3_sr","deszcz",182,21.3
0.5,"3_wieczor","3_sr","deszcz",175,23.3
1.7,"3_wieczor","5_pt","slonecznie",144,22.7
0,"3_wieczor","5_pt","slonecznie",144,19.5
1.9,"3_wieczor","1_pon","slonecznie",144,23.6
1.4,"3_wieczor","4_czw","slonecznie",501,8.9
0.4,"3_wieczor","1_pon","slonecznie",182,21.1
0.9,"3_wieczor","3_sr","slonecznie",182,20.7
4.9,"3_wieczor","4_czw","deszcz",175,12.5
3.2,"3_wieczor","2_wt","slonecznie",182,16.7
1.4,"3_wieczor","1_pon","deszcz",175,13
4.1,"3_wieczor","2_wt","deszcz",144,12.1
2.1,"3_wieczor","5_pt","slonecznie",501,6.1
1.2,"3_wieczor","5_pt","deszcz",175,5.4
2.4,"3_wieczor","7_nd","snieg",501,25
0,"3_wieczor","3_sr","slonecznie",144,22.2
4.8,"3_wieczor","3_sr","snieg",144,8.8
0.6,"3_wieczor","5_pt","slonecznie",144,20.1
1.5,"3_wieczor","5_pt","slonecznie",182,12.6
3.4,"3_wieczor","2_wt","slonecznie",501,7.8
0.1,"3_wieczor","1_pon","deszcz",144,19.9
4.4,"3_wieczor","5_pt","slonecznie",182,19.7
0,"3_wieczor","6_sob","slonecznie",182,19
3.6,"3_wieczor","1_pon","snieg",501,10.5
0,"3_wieczor","4_czw","slonecznie",144,13.3
0,"3_wieczor","4_czw","deszcz",501,16.3
2.3,"3_wieczor","5_pt","slonecznie",144,20.6
1.2,"3_wieczor","2_wt","slonecznie",501,12.9
5.4,"3_wieczor","1_pon","snieg",144,13.2
1,"3_wieczor","4_czw","snieg",182,17.8
2.4,"3_wieczor","4_czw","deszcz",144,5.5
1.5,"3_wieczor","1_pon","deszcz",182,7.4
1.8,"3_wieczor","3_sr","slonecznie",175,9.8
1.4,"3_wieczor","4_czw","slonecznie",182,16.4
0.2,"3_wieczor","1_pon","slonecznie",501,23
1.1,"3_wieczor","1_pon","slonecznie",144,8.6
0,"3_wieczor","3_sr","slonecznie",501,14.7
0,"3_wieczor","1_pon","slonecznie",501,14.8
2.2,"3_wieczor","6_sob","slonecznie",144,21.5
5.2,"3_wieczor","3_sr","deszcz",144,15
2.7,"3_wieczor","1_pon","slonecznie",144,14.5
1.2,"3_wieczor","3_sr","slonecznie",182,8.4
1.7,"3_wieczor","5_pt","slonecznie",144,22.4
3.7,"3_wieczor","5_pt","slonecznie",175,9.6
1.4,"3_wieczor","4_czw","deszcz",144,7.8
2.6,"3_wieczor","2_wt","deszcz",175,22.7
0.6,"3_wieczor","5_pt","slonecznie",501,24.7
4.1,"3_wieczor","1_pon","snieg",175,23.2
0,"3_wieczor","1_pon","deszcz",175,11.7
0,"3_wieczor","4_czw","snieg",175,20.4
0,"3_wieczor","4_czw","slonecznie",175,25
6.8,"3_wieczor","3_sr","deszcz",175,15.7
0,"3_wieczor","4_czw","slonecznie",144,9.6
1.6,"3_wieczor","3_sr","slonecznie",175,24
2.3,"3_wieczor","1_pon","deszcz",144,7.3
2.4,"3_wieczor","1_pon","slonecznie",182,15
0,"3_wieczor","1_pon","slonecznie",182,12.5
1.9,"3_wieczor","1_pon","deszcz",182,20.8
1.8,"3_wieczor","3_sr","slonecznie",182,9.6
2,"3_wieczor","3_sr","slonecznie",501,7.6
2.8,"3_wieczor","4_czw","deszcz",501,21.4
0,"3_wieczor","2_wt","slonecznie",501,22.7
0,"3_wieczor","1_pon","slonecznie",144,7.6
1.6,"3_wieczor","7_nd","slonecznie",175,15.9
1.5,"3_wieczor","3_sr","slonecznie",144,7.3
0,"3_wieczor","2_wt","deszcz",182,15.2
5.3,"3_wieczor","4_czw","snieg",175,8.2
0.4,"3_wieczor","2_wt","slonecznie",175,24.4
2.5,"3_wieczor","2_wt","snieg",182,11.3
3.6,"3_wieczor","2_wt","slonecznie",175,11.6
0,"3_wieczor","4_czw","deszcz",182,9.2
0,"3_wieczor","3_sr","slonecznie",175,12.5
0,"3_wieczor","7_nd","slonecznie",501,13.4
0,"3_wieczor","5_pt","deszcz",144,24.5
5.8,"3_wieczor","1_pon","snieg",182,21.7
3,"3_wieczor","1_pon","deszcz",144,8.8
3.2,"3_wieczor","6_sob","deszcz",144,24.9
1,"3_wieczor","5_pt","slonecznie",182,25
3.8,"3_wieczor","4_czw","slonecznie",175,23
0,"3_wieczor","1_pon","snieg",175,12.8
0,"3_wieczor","3_sr","slonecznie",182,9.1
1.4,"3_wieczor","4_czw","slonecznie",175,5.9
3.4,"3_wieczor","1_pon","deszcz",501,10.5
2.6,"3_wieczor","4_czw","slonecznie",501,14.1
5.9,"3_wieczor","2_wt","deszcz",144,22.4
0,"3_wieczor","4_czw","slonecznie",501,21.5
1.6,"3_wieczor","3_sr","slonecznie",501,11
0.1,"3_wieczor","6_sob","deszcz",144,9.9
2.5,"3_wieczor","2_wt","slonecznie",144,8.2
5.2,"3_wieczor","3_sr","snieg",501,6.2
1.3,"3_wieczor","6_sob","slonecznie",501,10.2
0,"3_wieczor","5_pt","slonecznie",175,24.7
1,"3_wieczor","4_czw","slonecznie",501,10.4
0.3,"3_wieczor","3_sr","slonecznie",144,16.4
3.8,"3_wieczor","4_czw","deszcz",175,17.3
0.4,"3_wieczor","4_czw","slonecznie",182,8.4
0.7,"3_wieczor","2_wt","deszcz",144,21.2
0,"3_wieczor","4_czw","slonecznie",144,14.9
0,"3_wieczor","5_pt","snieg",182,6.4
2.5,"3_wieczor","4_czw","slonecznie",144,21.7
5.9,"3_wieczor","5_pt","slonecznie",144,12.5
1.1,"3_wieczor","1_pon","deszcz",501,5
8.6,"3_wieczor","4_czw","snieg",144,18.5
3,"3_wieczor","4_czw","deszcz",175,9.1
1.8,"3_wieczor","3_sr","slonecznie",175,10.4
3.6,"3_wieczor","5_pt","slonecznie",144,8.8
0,"3_wieczor","1_pon","deszcz",501,22.4
0,"3_wieczor","5_pt","slonecznie",144,10.3
5.4,"3_wieczor","1_pon","deszcz",144,15.6
0,"3_wieczor","2_wt","slonecznie",501,10.3
8.7,"3_wieczor","7_nd","snieg",175,10.6
0.9,"3_wieczor","7_nd","slonecznie",144,23.6
4.2,"3_wieczor","7_nd","deszcz",182,12.4
0,"3_wieczor","1_pon","deszcz",182,12.4
0.6,"3_wieczor","2_wt","slonecznie",501,8.5
1.3,"3_wieczor","5_pt","snieg",501,19.7
1.7,"3_wieczor","2_wt","slonecznie",501,19.7
0.9,"3_wieczor","3_sr","slonecznie",175,22.7
2.6,"3_wieczor","2_wt","slonecznie",175,10.9
2.4,"3_wieczor","3_sr","deszcz",182,6.8
1.9,"3_wieczor","1_pon","slonecznie",182,9.3
0,"3_wieczor","1_pon","slonecznie",144,12.7
0.9,"3_wieczor","1_pon","slonecznie",182,19.8
3.9,"3_wieczor","2_wt","snieg",501,10.7
2.4,"3_wieczor","2_wt","snieg",144,21
1.9,"3_wieczor","5_pt","slonecznie",144,23.8
0.2,"3_wieczor","4_czw","slonecznie",175,24.7
1.5,"3_wieczor","1_pon","slonecznie",175,14.5
5.4,"3_wieczor","5_pt","snieg",144,20.3
2.6,"3_wieczor","3_sr","slonecznie",182,21.5
0.9,"3_wieczor","3_sr","deszcz",501,14.6
5,"3_wieczor","6_sob","deszcz",501,17.7
0.1,"3_wieczor","2_wt","slonecznie",501,19.9
0,"3_wieczor","1_pon","slonecznie",175,12.2
0.2,"3_wieczor","5_pt","slonecznie",501,9.5
